,CV(%),RMSE,MAPE,R_square
wt_temp,26.85808515637545,4.332737239874353,23.395531951311387,-0.915375965651385
wt_tmpap,38.46046635056682,4.865765397131625,37.52734134529935,-1.0816300792714038
wt_hr,30.596247222743973,19.1639466785283,30.645610307773136,-0.6428216865213165
wt_max_windgust,45.00619232473694,3.4764897979246614,5198.847304691039,-0.09297226241604564
wt_mean_windspd,49.84769230990396,2.125282852784114,3983.05100658917,-0.0866894136249974
wt_mean_pres,0.7270973815880745,7.39141185122588,0.5718338063895749,-1.1180550708945298
wt_mean_solarrad,92.11638691344459,178.8693434451373,1284.8382351801217,0.5174100459237471
wt_rain_day,678.8736538824867,4.429287280889472,126255.18272882738,-7.2664294527122735
