,wt_temp_true,wt_temp
2014-08-07 06:00:00,19.9,18.66140350877193
2014-08-07 07:00:00,20.1,19.025000000000002
2014-08-07 08:00:00,20.5,20.02456140350877
2014-08-07 09:00:00,20.6,21.285964912280704
2014-08-07 10:00:00,21.4,22.57758620689655
2014-08-07 11:00:00,22.6,23.872413793103444
2014-08-07 12:00:00,23.2,25.256896551724136
2014-08-07 13:00:00,23.6,26.24137931034483
2014-08-07 14:00:00,24.3,26.71896551724138
2014-08-07 15:00:00,23.8,26.7051724137931
2014-08-07 16:00:00,23.5,26.19827586206896
2014-08-07 17:00:00,22.4,25.372413793103444
2014-08-07 18:00:00,21.6,24.284482758620694
2014-08-07 19:00:00,20.7,22.999999999999996
2014-08-07 20:00:00,20.0,21.855172413793106
2014-08-07 21:00:00,19.5,21.096551724137928
2014-08-07 22:00:00,19.3,20.658620689655173
2014-08-07 23:00:00,19.3,20.2948275862069
2014-08-08 00:00:00,19.4,19.887931034482758
2014-08-08 01:00:00,19.7,19.7
2014-08-08 02:00:00,19.6,19.5051724137931
2014-08-08 03:00:00,19.6,19.25172413793104
2014-08-08 04:00:00,19.9,18.922807017543857
2014-08-08 05:00:00,19.8,18.692982456140346
2014-08-08 06:00:00,20.1,18.66140350877193
2014-08-08 07:00:00,20.9,19.025000000000002
2014-08-08 08:00:00,21.5,20.02456140350877
2014-08-08 09:00:00,22.2,21.285964912280704
2014-08-08 10:00:00,23.0,22.57758620689655
2014-08-08 11:00:00,23.1,23.872413793103444
2014-08-08 12:00:00,23.2,25.256896551724136
2014-08-08 13:00:00,23.5,26.24137931034483
2014-08-08 14:00:00,23.7,26.71896551724138
2014-08-08 15:00:00,24.1,26.7051724137931
2014-08-08 16:00:00,23.6,26.19827586206896
2014-08-08 17:00:00,23.0,25.372413793103444
2014-08-08 18:00:00,22.2,24.284482758620694
2014-08-08 19:00:00,21.4,22.999999999999996
2014-08-08 20:00:00,20.9,21.855172413793106
2014-08-08 21:00:00,20.5,21.096551724137928
2014-08-08 22:00:00,20.5,20.658620689655173
2014-08-08 23:00:00,20.3,20.2948275862069
2014-08-09 00:00:00,20.3,19.887931034482758
2014-08-09 01:00:00,20.0,19.7
2014-08-09 02:00:00,19.7,19.5051724137931
2014-08-09 03:00:00,19.7,19.25172413793104
2014-08-09 04:00:00,19.4,18.922807017543857
2014-08-09 05:00:00,19.5,18.692982456140346
2014-08-09 06:00:00,20.4,18.66140350877193
2014-08-09 07:00:00,21.9,19.025000000000002
2014-08-09 08:00:00,22.1,20.02456140350877
2014-08-09 09:00:00,22.3,21.285964912280704
2014-08-09 10:00:00,23.0,22.57758620689655
2014-08-09 11:00:00,23.2,23.872413793103444
2014-08-09 12:00:00,24.1,25.256896551724136
2014-08-09 13:00:00,24.4,26.24137931034483
2014-08-09 14:00:00,23.9,26.71896551724138
2014-08-09 15:00:00,23.7,26.7051724137931
2014-08-09 16:00:00,23.1,26.19827586206896
2014-08-09 17:00:00,22.8,25.372413793103444
2014-08-09 18:00:00,22.4,24.284482758620694
2014-08-09 19:00:00,21.4,22.999999999999996
2014-08-09 20:00:00,20.8,21.855172413793106
2014-08-09 21:00:00,20.6,21.096551724137928
2014-08-09 22:00:00,20.3,20.658620689655173
2014-08-09 23:00:00,19.7,20.2948275862069
2014-08-10 00:00:00,19.5,19.887931034482758
2014-08-10 01:00:00,19.1,19.7
2014-08-10 02:00:00,18.8,19.5051724137931
2014-08-10 03:00:00,18.7,19.25172413793104
2014-08-10 04:00:00,18.5,18.922807017543857
2014-08-10 05:00:00,18.2,18.692982456140346
2014-08-10 06:00:00,19.0,18.66140350877193
2014-08-10 07:00:00,19.3,19.025000000000002
2014-08-10 08:00:00,20.5,20.02456140350877
2014-08-10 09:00:00,21.6,21.285964912280704
2014-08-10 10:00:00,21.5,22.57758620689655
2014-08-10 11:00:00,22.1,23.872413793103444
2014-08-10 12:00:00,22.6,25.256896551724136
2014-08-10 13:00:00,22.4,26.24137931034483
2014-08-10 14:00:00,22.4,26.71896551724138
2014-08-10 15:00:00,22.8,26.7051724137931
2014-08-10 16:00:00,23.3,26.19827586206896
2014-08-10 17:00:00,23.5,25.372413793103444
2014-08-10 18:00:00,22.8,24.284482758620694
2014-08-10 19:00:00,21.8,22.999999999999996
2014-08-10 20:00:00,21.1,21.855172413793106
2014-08-10 21:00:00,20.9,21.096551724137928
2014-08-10 22:00:00,20.8,20.658620689655173
2014-08-10 23:00:00,20.9,20.2948275862069
2014-08-11 00:00:00,20.5,19.887931034482758
2014-08-11 01:00:00,20.1,19.7
2014-08-11 02:00:00,19.7,19.5051724137931
2014-08-11 03:00:00,19.7,19.25172413793104
2014-08-11 04:00:00,19.4,18.922807017543857
2014-08-11 05:00:00,18.8,18.692982456140346
2014-08-11 06:00:00,18.6,18.66140350877193
2014-08-11 07:00:00,18.7,19.025000000000002
2014-08-11 08:00:00,19.2,20.02456140350877
2014-08-11 09:00:00,19.8,21.285964912280704
2014-08-11 10:00:00,20.9,22.57758620689655
2014-08-11 11:00:00,21.6,23.872413793103444
2014-08-11 12:00:00,21.8,25.256896551724136
2014-08-11 13:00:00,21.8,26.24137931034483
2014-08-11 14:00:00,22.4,26.71896551724138
2014-08-11 15:00:00,22.5,26.7051724137931
2014-08-11 16:00:00,21.2,26.19827586206896
2014-08-11 17:00:00,20.8,25.372413793103444
2014-08-11 18:00:00,20.2,24.284482758620694
2014-08-11 19:00:00,18.7,22.999999999999996
2014-08-11 20:00:00,18.1,21.855172413793106
2014-08-11 21:00:00,17.9,21.096551724137928
2014-08-11 22:00:00,17.8,20.658620689655173
2014-08-11 23:00:00,17.8,20.2948275862069
2014-08-12 00:00:00,17.9,19.887931034482758
2014-08-12 01:00:00,17.9,19.7
2014-08-12 02:00:00,17.6,19.5051724137931
2014-08-12 03:00:00,17.6,19.25172413793104
2014-08-12 04:00:00,17.5,18.922807017543857
2014-08-12 05:00:00,17.3,18.692982456140346
2014-08-12 06:00:00,17.5,18.66140350877193
2014-08-12 07:00:00,18.4,19.025000000000002
2014-08-12 08:00:00,19.5,20.02456140350877
2014-08-12 09:00:00,20.3,21.285964912280704
2014-08-12 10:00:00,20.6,22.57758620689655
2014-08-12 11:00:00,21.3,23.872413793103444
2014-08-12 12:00:00,22.3,25.256896551724136
2014-08-12 13:00:00,23.3,26.24137931034483
2014-08-12 14:00:00,23.5,26.71896551724138
2014-08-12 15:00:00,23.8,26.7051724137931
2014-08-12 16:00:00,23.5,26.19827586206896
2014-08-12 17:00:00,22.7,25.372413793103444
