,south_tower_true,south_tower
2014-04-02 20:00:00,185.12447129072163,127.07108214166668
2014-04-02 21:00:00,150.16797426804123,109.595459425
2014-04-02 22:00:00,116.84595859793815,102.03159758333332
2014-04-02 23:00:00,125.32645212371136,101.36688780833333
2014-04-03 00:00:00,139.0914112956028,101.33159641666666
2014-04-03 01:00:00,138.3961478274774,100.23962809999999
2014-04-03 02:00:00,138.44172148699607,98.91858438333334
2014-04-03 03:00:00,138.76926296716894,98.56315043333333
2014-04-03 04:00:00,138.67147348453608,98.68994962500001
2014-04-03 05:00:00,138.9308318147502,99.30727403333334
2014-04-03 06:00:00,138.9620214735956,103.61169125833332
2014-04-03 07:00:00,139.66042783568597,125.39622137500001
2014-04-03 08:00:00,146.17343579886386,211.07337800833332
2014-04-03 09:00:00,182.939009400793,205.59804477499995
2014-04-03 10:00:00,212.07802581611614,237.42602207499993
2014-04-03 11:00:00,218.06156051335998,237.67033420833334
2014-04-03 12:00:00,223.44397855670098,239.10416762500006
2014-04-03 13:00:00,229.248815464552,234.73675320833337
2014-04-03 14:00:00,218.00410596796195,251.91785613333332
2014-04-03 15:00:00,230.53192907817254,256.23631198333334
2014-04-03 16:00:00,223.879304159899,220.44079711666666
2014-04-03 17:00:00,219.71020525310328,197.53166570833326
2014-04-03 18:00:00,217.97966453689813,169.5962477
2014-04-03 19:00:00,183.1951399856933,144.24047710833332
2014-04-03 20:00:00,149.86849143193774,127.07108214166668
2014-04-03 21:00:00,140.76189677256468,109.595459425
2014-04-03 22:00:00,138.42824709278352,102.03159758333332
2014-04-03 23:00:00,139.10928098969072,101.36688780833333
2014-04-04 00:00:00,148.5345739216495,101.33159641666666
2014-04-04 01:00:00,149.73711608836524,100.23962809999999
2014-04-04 02:00:00,150.0220384329897,98.91858438333334
2014-04-04 03:00:00,149.31386907468962,98.56315043333333
2014-04-04 04:00:00,147.13939204039553,98.68994962500001
2014-04-04 05:00:00,142.7901070515464,99.30727403333334
2014-04-04 06:00:00,142.01575364106876,103.61169125833332
2014-04-04 07:00:00,149.57661976183462,125.39622137500001
2014-04-04 08:00:00,163.05235462571008,211.07337800833332
2014-04-04 09:00:00,226.686997113402,205.59804477499995
2014-04-04 10:00:00,291.9689606597939,237.42602207499993
2014-04-04 11:00:00,310.6811777319588,237.67033420833334
2014-04-04 12:00:00,332.6109325007364,239.10416762500006
2014-04-04 13:00:00,327.8189729333572,234.73675320833337
2014-04-04 14:00:00,319.8913504329896,251.91785613333332
2014-04-04 15:00:00,318.0087450687985,256.23631198333334
2014-04-04 16:00:00,335.55347546055117,220.44079711666666
2014-04-04 17:00:00,327.674594969072,197.53166570833326
2014-04-04 18:00:00,313.57408265264047,169.5962477
2014-04-04 19:00:00,271.2771785869977,144.24047710833332
2014-04-04 20:00:00,205.4716991878813,127.07108214166668
2014-04-04 21:00:00,153.13533624742269,109.595459425
2014-04-04 22:00:00,147.29630274856996,102.03159758333332
2014-04-04 23:00:00,138.7513016336241,101.36688780833333
2014-04-05 00:00:00,110.13627091060408,101.33159641666666
2014-04-05 01:00:00,124.64622092056514,100.23962809999999
2014-04-05 02:00:00,115.1820406153846,98.91858438333334
2014-04-05 03:00:00,107.11244992904241,98.56315043333333
2014-04-05 04:00:00,121.25707924422605,98.68994962500001
2014-04-05 05:00:00,115.44278541664049,99.30727403333334
2014-04-05 06:00:00,133.0710434762951,103.61169125833332
2014-04-05 07:00:00,108.65452475994965,125.39622137500001
2014-04-05 08:00:00,119.09732792464676,211.07337800833332
2014-04-05 09:00:00,119.92021137069858,205.59804477499995
2014-04-05 10:00:00,103.11535064615386,237.42602207499993
2014-04-05 11:00:00,125.05478695384613,237.67033420833334
2014-04-05 12:00:00,127.52050436420721,239.10416762500006
2014-04-05 13:00:00,131.02986282011358,234.73675320833337
2014-04-05 14:00:00,125.34516184615386,251.91785613333332
2014-04-05 15:00:00,119.89256664615385,256.23631198333334
2014-04-05 16:00:00,127.31325833846151,220.44079711666666
2014-04-05 17:00:00,136.34714387692304,197.53166570833326
2014-04-05 18:00:00,139.15410116923076,169.5962477
2014-04-05 19:00:00,137.6699628307692,144.24047710833332
2014-04-05 20:00:00,131.50756233846158,127.07108214166668
2014-04-05 21:00:00,132.63679803076923,109.595459425
2014-04-05 22:00:00,132.99170067692307,102.03159758333332
2014-04-05 23:00:00,123.44224821179225,101.36688780833333
2014-04-06 00:00:00,135.19987026088342,101.33159641666666
2014-04-06 01:00:00,128.79379360437332,100.23962809999999
2014-04-06 02:00:00,123.36838522452166,98.91858438333334
2014-04-06 03:00:00,125.09474830394377,98.56315043333333
2014-04-06 04:00:00,113.939720920189,98.68994962500001
2014-04-06 05:00:00,125.35059402951336,99.30727403333334
2014-04-06 06:00:00,111.5411358038266,103.61169125833332
2014-04-06 07:00:00,128.07261172747252,125.39622137500001
2014-04-06 08:00:00,150.5119685023038,211.07337800833332
2014-04-06 09:00:00,334.05969033346355,205.59804477499995
2014-04-06 10:00:00,270.76107555486146,237.42602207499993
2014-04-06 11:00:00,350.1687001515033,237.67033420833334
