,wt_mean_pres_true,wt_mean_pres
2014-04-21 15:00:00,1007.4,1015.0999999999999
2014-04-21 16:00:00,1008.0,1014.9779661016948
2014-04-21 17:00:00,1008.7,1014.9672413793104
2014-04-21 18:00:00,1009.7,1015.1793103448277
2014-04-21 19:00:00,1010.9,1015.5172413793103
2014-04-21 20:00:00,1011.6,1016.0293103448276
2014-04-21 21:00:00,1012.8,1016.4379310344827
2014-04-21 22:00:00,1013.0,1016.4051724137931
2014-04-21 23:00:00,1013.1,1016.3431034482758
2014-04-22 00:00:00,1014.0,1016.2862068965518
2014-04-22 01:00:00,1014.0,1015.9517241379313
2014-04-22 02:00:00,1014.0,1015.6568965517241
2014-04-22 03:00:00,1014.0,1015.4827586206897
2014-04-22 04:00:00,1015.0,1015.448275862069
2014-04-22 05:00:00,1015.4,1015.5258620689655
2014-04-22 06:00:00,1016.0,1015.8620689655172
2014-04-22 07:00:00,1016.0,1016.1758620689656
2014-04-22 08:00:00,1017.0,1016.3586206896551
2014-04-22 09:00:00,1017.0,1016.5034482758622
2014-04-22 10:00:00,1017.9,1016.6103448275862
2014-04-22 11:00:00,1018.0,1016.3206896551723
2014-04-22 12:00:00,1018.0,1015.9672413793104
2014-04-22 13:00:00,1018.0,1015.6586206896552
2014-04-22 14:00:00,1018.0,1015.3949152542374
2014-04-22 15:00:00,1018.0,1015.0999999999999
2014-04-22 16:00:00,1018.0,1014.9779661016948
2014-04-22 17:00:00,1018.0,1014.9672413793104
2014-04-22 18:00:00,1018.0,1015.1793103448277
2014-04-22 19:00:00,1019.0,1015.5172413793103
2014-04-22 20:00:00,1019.5,1016.0293103448276
2014-04-22 21:00:00,1020.0,1016.4379310344827
2014-04-22 22:00:00,1020.0,1016.4051724137931
2014-04-22 23:00:00,1020.0,1016.3431034482758
2014-04-23 00:00:00,1020.0,1016.2862068965518
2014-04-23 01:00:00,1019.5,1015.9517241379313
2014-04-23 02:00:00,1019.0,1015.6568965517241
2014-04-23 03:00:00,1019.0,1015.4827586206897
2014-04-23 04:00:00,1019.9,1015.448275862069
2014-04-23 05:00:00,1020.1,1015.5258620689655
2014-04-23 06:00:00,1020.9,1015.8620689655172
2014-04-23 07:00:00,1021.9,1016.1758620689656
2014-04-23 08:00:00,1022.1,1016.3586206896551
2014-04-23 09:00:00,1023.0,1016.5034482758622
2014-04-23 10:00:00,1023.0,1016.6103448275862
2014-04-23 11:00:00,1023.0,1016.3206896551723
2014-04-23 12:00:00,1022.2,1015.9672413793104
2014-04-23 13:00:00,1022.0,1015.6586206896552
2014-04-23 14:00:00,1022.0,1015.3949152542374
2014-04-23 15:00:00,1022.0,1015.0999999999999
2014-04-23 16:00:00,1021.0,1014.9779661016948
2014-04-23 17:00:00,1021.3,1014.9672413793104
2014-04-23 18:00:00,1022.0,1015.1793103448277
2014-04-23 19:00:00,1022.0,1015.5172413793103
2014-04-23 20:00:00,1022.7,1016.0293103448276
2014-04-23 21:00:00,1023.0,1016.4379310344827
2014-04-23 22:00:00,1023.0,1016.4051724137931
2014-04-23 23:00:00,1022.5,1016.3431034482758
2014-04-24 00:00:00,1022.0,1016.2862068965518
2014-04-24 01:00:00,1022.0,1015.9517241379313
2014-04-24 02:00:00,1021.2,1015.6568965517241
2014-04-24 03:00:00,1021.0,1015.4827586206897
2014-04-24 04:00:00,1021.0,1015.448275862069
2014-04-24 05:00:00,1021.0,1015.5258620689655
2014-04-24 06:00:00,1021.0,1015.8620689655172
2014-04-24 07:00:00,1021.5,1016.1758620689656
2014-04-24 08:00:00,1021.5,1016.3586206896551
2014-04-24 09:00:00,1021.8,1016.5034482758622
2014-04-24 10:00:00,1022.0,1016.6103448275862
2014-04-24 11:00:00,1022.0,1016.3206896551723
2014-04-24 12:00:00,1022.0,1015.9672413793104
2014-04-24 13:00:00,1022.4,1015.6586206896552
2014-04-24 14:00:00,1022.3,1015.3949152542374
2014-04-24 15:00:00,1022.2,1015.0999999999999
2014-04-24 16:00:00,1022.8,1014.9779661016948
2014-04-24 17:00:00,1023.1,1014.9672413793104
2014-04-24 18:00:00,1024.0,1015.1793103448277
2014-04-24 19:00:00,1024.2,1015.5172413793103
2014-04-24 20:00:00,1025.0,1016.0293103448276
2014-04-24 21:00:00,1025.9,1016.4379310344827
2014-04-24 22:00:00,1026.0,1016.4051724137931
2014-04-24 23:00:00,1026.0,1016.3431034482758
2014-04-25 00:00:00,1026.0,1016.2862068965518
2014-04-25 01:00:00,1026.0,1015.9517241379313
2014-04-25 02:00:00,1026.0,1015.6568965517241
2014-04-25 03:00:00,1026.0,1015.4827586206897
2014-04-25 04:00:00,1026.0,1015.448275862069
2014-04-25 05:00:00,1026.2,1015.5258620689655
2014-04-25 06:00:00,1027.0,1015.8620689655172
2014-04-25 07:00:00,1027.0,1016.1758620689656
2014-04-25 08:00:00,1027.0,1016.3586206896551
2014-04-25 09:00:00,1027.0,1016.5034482758622
2014-04-25 10:00:00,1027.0,1016.6103448275862
2014-04-25 11:00:00,1026.1,1016.3206896551723
2014-04-25 12:00:00,1026.0,1015.9672413793104
2014-04-25 13:00:00,1026.0,1015.6586206896552
2014-04-25 14:00:00,1025.8,1015.3949152542374
2014-04-25 15:00:00,1025.0,1015.0999999999999
2014-04-25 16:00:00,1025.2,1014.9779661016948
2014-04-25 17:00:00,1025.1,1014.9672413793104
2014-04-25 18:00:00,1025.1,1015.1793103448277
2014-04-25 19:00:00,1025.7,1015.5172413793103
2014-04-25 20:00:00,1026.0,1016.0293103448276
2014-04-25 21:00:00,1026.1,1016.4379310344827
2014-04-25 22:00:00,1026.0,1016.4051724137931
