,south_tower_true,south_tower
2014-02-25 01:00:00,129.78560263917524,114.0833736694786
2014-02-25 02:00:00,127.45062927835049,114.27201682762912
2014-02-25 03:00:00,130.08483859302484,111.77418974433634
2014-02-25 04:00:00,127.33712362886592,110.7857711987617
2014-02-25 05:00:00,129.12078383505153,111.40369568415315
2014-02-25 06:00:00,129.1270713200084,123.18293467780903
2014-02-25 07:00:00,135.4446700206185,134.83754360871757
2014-02-25 08:00:00,169.15667521817798,254.89261156033822
2014-02-25 09:00:00,206.96414956448558,333.8474543748265
2014-02-25 10:00:00,242.53824307006093,365.52596005381235
2014-02-25 11:00:00,290.0555797113403,365.6453642882144
2014-02-25 12:00:00,293.67402730401835,346.64097778326993
2014-02-25 13:00:00,284.27258269219436,344.1431506999771
2014-02-25 14:00:00,287.4763871979804,346.10431030609027
2014-02-25 15:00:00,296.5089371762095,356.96959550626536
2014-02-25 16:00:00,304.3393302128468,357.9198668256498
2014-02-25 17:00:00,288.5805051939731,355.94825556284593
2014-02-25 18:00:00,282.36064506518625,332.11099218025356
2014-02-25 19:00:00,220.36458564427966,282.2537412529603
2014-02-25 20:00:00,208.4322773019145,231.6210143796834
2014-02-25 21:00:00,152.87190335543218,181.7083723133913
2014-02-25 22:00:00,139.74580611150853,139.67511976968294
2014-02-25 23:00:00,139.91820623378268,132.27517688499364
2014-02-26 00:00:00,138.41269723457572,118.67470224697695
2014-02-26 01:00:00,138.8007784551943,116.8138732621707
2014-02-26 02:00:00,138.52553764948456,114.786870860368
2014-02-26 03:00:00,138.9616048534723,114.15849471828578
2014-02-26 04:00:00,138.62257874321963,113.3224018049579
2014-02-26 05:00:00,138.7200356085646,114.38345540234
2014-02-26 06:00:00,138.9631788459953,134.37443075257258
2014-02-26 07:00:00,139.39867075783715,136.5294593451816
2014-02-26 08:00:00,177.6765254329099,254.50735958434615
2014-02-26 09:00:00,211.43175466835842,336.0517381470296
2014-02-26 10:00:00,247.02552180770041,388.128030762335
2014-02-26 11:00:00,284.7804358344171,378.9555714296831
2014-02-26 12:00:00,288.8353129463432,367.12433742508733
2014-02-26 13:00:00,286.8276180265095,363.1447973735758
2014-02-26 14:00:00,278.73380482558366,351.9644092522162
2014-02-26 15:00:00,289.31994397138646,348.27567268044857
2014-02-26 16:00:00,290.0731252732752,347.6888398926154
2014-02-26 17:00:00,282.8876814003786,340.6212438419192
2014-02-26 18:00:00,278.0698820517049,320.10744879925653
2014-02-26 19:00:00,234.82264966597938,280.74681871224186
2014-02-26 20:00:00,207.17154917117284,235.4870323218516
2014-02-26 21:00:00,157.32257213005553,193.23221522214783
2014-02-26 22:00:00,139.5301250131642,140.23151715667098
2014-02-26 23:00:00,138.31341267117452,124.758315762902
2014-02-27 00:00:00,138.848846744372,110.46545188739994
2014-02-27 01:00:00,138.6552583917526,109.98940137756449
2014-02-27 02:00:00,138.65426563096992,112.29675560242028
2014-02-27 03:00:00,138.84835036398064,110.87905572960472
2014-02-27 04:00:00,138.63821599831687,120.29032353106057
2014-02-27 05:00:00,138.13637542268043,124.39788977337837
2014-02-27 06:00:00,138.60628049611424,126.71909178298388
2014-02-27 07:00:00,139.28756385598732,125.91069443915544
2014-02-27 08:00:00,163.71397962505952,249.05381838996098
2014-02-27 09:00:00,210.5767797486802,337.16204692400595
2014-02-27 10:00:00,226.43279435114982,370.21148329321295
2014-02-27 11:00:00,261.748826055123,342.96766486219246
2014-02-27 12:00:00,293.7584689322292,347.55990357074995
2014-02-27 13:00:00,284.8110366249008,346.82074515067006
2014-02-27 14:00:00,283.54393106677236,345.1537851523598
2014-02-27 15:00:00,284.5987436409198,350.4938042374015
2014-02-27 16:00:00,288.6469454972244,355.2106730087064
2014-02-27 17:00:00,285.49231998477404,362.21242626371316
2014-02-27 18:00:00,273.89373539186573,341.11702426156296
2014-02-27 19:00:00,238.83743790958263,277.9797477593
2014-02-27 20:00:00,187.74694817420576,222.9018819813669
2014-02-27 21:00:00,145.9564047155578,175.03871205803154
2014-02-27 22:00:00,138.8328785690139,124.6413975254997
2014-02-27 23:00:00,139.72446175468124,119.11090558202092
2014-02-28 00:00:00,138.47655975384615,107.35218631571539
2014-02-28 01:00:00,138.82816422806647,105.96218201239923
2014-02-28 02:00:00,137.82522298055642,107.07862674878017
2014-02-28 03:00:00,139.31461701157164,107.66885566467221
2014-02-28 04:00:00,138.7356720151483,104.03551023190337
2014-02-28 05:00:00,139.18727974369548,103.94719769505976
2014-02-28 06:00:00,138.5894833230769,109.9519104480875
2014-02-28 07:00:00,141.62344767178618,132.4631826227669
2014-02-28 08:00:00,162.14149660761626,210.62870170652167
2014-02-28 09:00:00,213.30664789344382,270.90288289365407
2014-02-28 10:00:00,242.30612287137185,285.77017788649476
2014-02-28 11:00:00,266.1095142167569,292.74423557200214
2014-02-28 12:00:00,282.815595936882,325.48902067671554
2014-02-28 13:00:00,280.18711121096777,355.533487755236
2014-02-28 14:00:00,256.65206339201296,362.798348920487
2014-02-28 15:00:00,278.506941167962,353.7366718658328
2014-02-28 16:00:00,267.12874437772416,332.3504663839386
