,wt_mean_solarrad_true,wt_mean_solarrad
2014-04-21 15:00:00,678.3,178.62331451896125
2014-04-21 16:00:00,535.9,177.12617173303647
2014-04-21 17:00:00,355.6,175.62902894711237
2014-04-21 18:00:00,116.6,174.13188616118623
2014-04-21 19:00:00,5.7,172.63474337526168
2014-04-21 20:00:00,1.4,171.13760058933667
2014-04-21 21:00:00,1.4,169.64045780341235
2014-04-21 22:00:00,1.4,168.14331501748848
2014-04-21 23:00:00,1.4,166.64617223156392
2014-04-22 00:00:00,1.4,201.73339212079372
2014-04-22 01:00:00,1.3,200.23624933486894
2014-04-22 02:00:00,1.3,198.73910654894485
2014-04-22 03:00:00,1.3,197.24196376301916
2014-04-22 04:00:00,1.3,195.74482097709574
2014-04-22 05:00:00,3.0,194.2476781911705
2014-04-22 06:00:00,75.4,192.75053540524618
2014-04-22 07:00:00,265.8,191.2533926193205
2014-04-22 08:00:00,260.5,189.75624983339662
2014-04-22 09:00:00,478.7,188.25910704747207
2014-04-22 10:00:00,633.0,186.7619642615473
2014-04-22 11:00:00,789.0,185.26482147562274
2014-04-22 12:00:00,877.3,183.76767868969864
2014-04-22 13:00:00,733.7,182.27053590377272
2014-04-22 14:00:00,784.2,180.7733931178484
2014-04-22 15:00:00,615.9,179.27625033192407
2014-04-22 16:00:00,292.8,177.77910754600043
2014-04-22 17:00:00,100.7,176.28196476007452
2014-04-22 18:00:00,38.8,174.78482197414974
2014-04-22 19:00:00,5.6,173.2876791882245
2014-04-22 20:00:00,1.4,171.79053640230063
2014-04-22 21:00:00,1.3,170.29339361637653
2014-04-22 22:00:00,1.4,168.79625083045107
2014-04-22 23:00:00,1.4,167.29910804452675
2014-04-23 00:00:00,1.4,202.38632793375746
2014-04-23 01:00:00,1.4,200.88918514783177
2014-04-23 02:00:00,1.3,199.39204236190676
2014-04-23 03:00:00,1.5,197.89489957598335
2014-04-23 04:00:00,1.5,196.3977567900588
2014-04-23 05:00:00,1.7,194.90061400413447
2014-04-23 06:00:00,14.7,193.40347121820878
2014-04-23 07:00:00,84.1,191.90632843228445
2014-04-23 08:00:00,345.5,190.40918564636058
2014-04-23 09:00:00,381.9,188.91204286043444
2014-04-23 10:00:00,639.5,187.41490007451102
2014-04-23 11:00:00,645.8,185.9177572885867
2014-04-23 12:00:00,280.7,184.42061450266056
2014-04-23 13:00:00,319.9,182.92347171673555
2014-04-23 14:00:00,409.2,181.42632893081122
2014-04-23 15:00:00,566.7,179.9291861448869
2014-04-23 16:00:00,545.5,178.4320433589628
2014-04-23 17:00:00,325.6,176.93490057303757
2014-04-23 18:00:00,126.8,175.43775778711324
2014-04-23 19:00:00,8.0,173.9406150011887
2014-04-23 20:00:00,1.3,172.44347221526414
2014-04-23 21:00:00,1.3,170.94632942933868
2014-04-23 22:00:00,1.3,169.4491866434148
2014-04-23 23:00:00,1.3,167.95204385748957
2014-04-24 00:00:00,1.3,203.03926374672005
2014-04-24 01:00:00,1.2,201.54212096079618
2014-04-24 02:00:00,1.3,200.04497817487118
2014-04-24 03:00:00,1.2,198.54783538894662
2014-04-24 04:00:00,1.2,197.05069260302116
2014-04-24 05:00:00,2.9,195.5535498170973
2014-04-24 06:00:00,82.1,194.05640703117206
2014-04-24 07:00:00,240.4,192.55926424524728
2014-04-24 08:00:00,342.3,191.0621214593225
2014-04-24 09:00:00,276.6,189.56497867339817
2014-04-24 10:00:00,480.0,188.06783588747294
2014-04-24 11:00:00,565.4,186.5706931015493
2014-04-24 12:00:00,605.3,185.07355031562338
2014-04-24 13:00:00,631.9,183.57640752969905
2014-04-24 14:00:00,683.5,182.07926474377427
2014-04-24 15:00:00,741.4,180.58212195785018
2014-04-24 16:00:00,475.2,179.08497917192608
2014-04-24 17:00:00,321.5,177.58783638600062
2014-04-24 18:00:00,88.9,176.09069360007607
2014-04-24 19:00:00,7.8,174.59355081415129
2014-04-24 20:00:00,1.2,173.09640802822628
2014-04-24 21:00:00,1.3,171.5992652423024
2014-04-24 22:00:00,1.2,170.10212245637786
2014-04-24 23:00:00,1.2,168.60497967045353
2014-04-25 00:00:00,1.2,203.69219955968265
2014-04-25 01:00:00,1.2,202.19505677375878
2014-04-25 02:00:00,1.2,200.697913987834
2014-04-25 03:00:00,1.2,199.20077120190854
2014-04-25 04:00:00,1.2,197.70362841598399
2014-04-25 05:00:00,2.9,196.2064856300599
2014-04-25 06:00:00,76.4,194.7093428441358
2014-04-25 07:00:00,272.1,193.21220005821147
2014-04-25 08:00:00,473.9,191.71505727228669
2014-04-25 09:00:00,605.5,190.21791448636122
2014-04-25 10:00:00,603.1,188.72077170043622
2014-04-25 11:00:00,898.1,187.2236289145112
2014-04-25 12:00:00,908.1,185.72648612858757
2014-04-25 13:00:00,899.1,184.22934334266301
2014-04-25 14:00:00,849.7,182.732200556738
2014-04-25 15:00:00,602.0,181.23505777081346
2014-04-25 16:00:00,500.5,179.73791498488868
2014-04-25 17:00:00,333.3,178.2407721989639
2014-04-25 18:00:00,84.0,176.74362941303912
2014-04-25 19:00:00,6.7,175.24648662711502
2014-04-25 20:00:00,1.3,173.74934384119024
2014-04-25 21:00:00,1.3,172.252201055265
2014-04-25 22:00:00,1.3,170.7550582693416
2014-04-25 23:00:00,1.3,169.2579154834168
2014-04-26 00:00:00,1.3,204.34513537264547
2014-04-26 01:00:00,1.3,202.8479925867216
2014-04-26 02:00:00,1.3,201.35084980079728
2014-04-26 03:00:00,1.3,199.85370701487182
2014-04-26 04:00:00,1.3,198.3565642289475
2014-04-26 05:00:00,1.7,196.8594214430227
2014-04-26 06:00:00,14.9,195.3622786570977
2014-04-26 07:00:00,49.0,193.86513587117247
2014-04-26 08:00:00,146.3,192.3679930852486
2014-04-26 09:00:00,189.5,190.87085029932337
2014-04-26 10:00:00,280.9,189.37370751339927
2014-04-26 11:00:00,435.8,187.87656472747426
2014-04-26 12:00:00,384.3,186.3794219415497
2014-04-26 13:00:00,448.0,184.88227915562538
2014-04-26 14:00:00,360.3,183.38513636970106
2014-04-26 15:00:00,311.8,181.88799358377582
2014-04-26 16:00:00,252.9,180.39085079785218
2014-04-26 17:00:00,199.3,178.8937080119258
2014-04-26 18:00:00,52.7,177.39656522600194
2014-04-26 19:00:00,4.8,175.89942244007807
2014-04-26 20:00:00,1.3,174.40227965415284
2014-04-26 21:00:00,1.3,172.90513686822828
2014-04-26 22:00:00,1.7,171.4079940823035
2014-04-26 23:00:00,1.9,169.91085129637918
2014-04-27 00:00:00,1.4,204.99807118560898
2014-04-27 01:00:00,1.3,203.50092839968306
2014-04-27 02:00:00,1.3,202.0037856137592
2014-04-27 03:00:00,1.2,200.5066428278351
2014-04-27 04:00:00,1.2,199.00950004190986
2014-04-27 05:00:00,4.6,197.51235725598508
2014-04-27 06:00:00,90.5,196.01521447006098
2014-04-27 07:00:00,273.3,194.51807168413552
2014-04-27 08:00:00,466.0,193.02092889821142
2014-04-27 09:00:00,651.3,191.52378611228824
2014-04-27 10:00:00,791.3,190.02664332636186
2014-04-27 11:00:00,884.2,188.52950054043845
2014-04-27 12:00:00,919.3,187.03235775451367
2014-04-27 13:00:00,902.5,185.53521496858775
2014-04-27 14:00:00,824.1,184.03807218266434
2014-04-27 15:00:00,697.9,182.54092939674024
2014-04-27 16:00:00,521.2,181.04378661081455
2014-04-27 17:00:00,326.4,179.5466438248891
2014-04-27 18:00:00,138.9,178.04950103896545
2014-04-27 19:00:00,9.4,176.55235825304067
2014-04-27 20:00:00,1.3,175.05521546711475
2014-04-27 21:00:00,1.3,173.55807268119133
2014-04-27 22:00:00,1.4,172.06092989526655
2014-04-27 23:00:00,1.4,170.56378710934223
2014-04-28 00:00:00,1.4,201.08045630783045
2014-04-28 01:00:00,1.3,199.5833135219059
2014-04-28 02:00:00,1.4,198.0861707359811
2014-04-28 03:00:00,1.3,196.5890279500561
2014-04-28 04:00:00,1.3,195.09188516413246
2014-04-28 05:00:00,4.7,193.5947423782061
2014-04-28 06:00:00,100.6,192.09759959228268
2014-04-28 07:00:00,285.5,190.60045680635812
2014-04-28 08:00:00,479.9,189.1033140204338
2014-04-28 09:00:00,667.2,187.60617123450857
2014-04-28 10:00:00,736.8,186.10902844858424
2014-04-28 11:00:00,869.4,184.61188566265992
2014-04-28 12:00:00,926.5,183.11474287673582
2014-04-28 13:00:00,867.8,181.6176000908099
2014-04-28 14:00:00,788.3,180.1204573048849
2014-04-28 15:00:00,703.5,178.62331451896193
2014-04-28 16:00:00,536.3,177.12617173303624
2014-04-28 17:00:00,340.3,175.6290289471117
2014-04-28 18:00:00,141.1,174.1318861611869
2014-04-28 19:00:00,11.7,172.6347433752619
2014-04-28 20:00:00,1.4,171.13760058933804
2014-04-28 21:00:00,1.3,169.64045780341326
