,wt_tmpap_true,wt_tmpap
2014-08-07 05:00:00,17.8,11.947158392047097
2014-08-07 06:00:00,17.3,11.947621113060784
2014-08-07 07:00:00,17.5,11.948083834074477
2014-08-07 08:00:00,18.7,11.948546555088157
2014-08-07 09:00:00,18.3,11.949009276101851
2014-08-07 10:00:00,19.2,11.949471997115541
2014-08-07 11:00:00,20.1,11.949934718129214
2014-08-07 12:00:00,20.6,11.950397439142911
2014-08-07 13:00:00,20.4,11.950860160156598
2014-08-07 14:00:00,21.1,11.951322881170277
2014-08-07 15:00:00,20.0,11.951785602183971
2014-08-07 16:00:00,19.8,11.952248323197654
2014-08-07 17:00:00,17.9,11.952711044211348
2014-08-07 18:00:00,17.3,11.953173765225031
2014-08-07 19:00:00,16.5,11.953636486238718
2014-08-07 20:00:00,16.9,11.954099207252412
2014-08-07 21:00:00,17.8,11.95456192826611
2014-08-07 22:00:00,17.9,11.955024649279785
2014-08-07 23:00:00,18.2,11.955487370293465
2014-08-08 00:00:00,17.4,11.937541221816542
2014-08-08 01:00:00,17.1,11.938003942830228
2014-08-08 02:00:00,17.9,11.938466663843915
2014-08-08 03:00:00,18.4,11.938929384857612
2014-08-08 04:00:00,18.0,11.939392105871285
2014-08-08 05:00:00,19.2,11.939854826884972
2014-08-08 06:00:00,19.9,11.940317547898655
2014-08-08 07:00:00,21.1,11.940780268912345
2014-08-08 08:00:00,22.2,11.941242989926035
2014-08-08 09:00:00,21.8,11.941705710939722
2014-08-08 10:00:00,22.5,11.942168431953426
2014-08-08 11:00:00,21.8,11.942631152967095
2014-08-08 12:00:00,21.0,11.943093873980782
2014-08-08 13:00:00,20.9,11.943556594994469
2014-08-08 14:00:00,20.7,11.944019316008163
2014-08-08 15:00:00,21.4,11.944482037021857
2014-08-08 16:00:00,20.7,11.94494475803554
2014-08-08 17:00:00,19.7,11.945407479049226
2014-08-08 18:00:00,19.8,11.94587020006292
2014-08-08 19:00:00,19.7,11.946332921076593
2014-08-08 20:00:00,19.5,11.946795642090287
2014-08-08 21:00:00,18.9,11.94725836310398
2014-08-08 22:00:00,19.3,11.947721084117667
2014-08-08 23:00:00,19.9,11.948183805131357
2014-08-09 00:00:00,20.3,11.930237656654434
2014-08-09 01:00:00,19.7,11.930700377668124
2014-08-09 02:00:00,19.6,11.931163098681797
2014-08-09 03:00:00,20.7,11.93162581969548
2014-08-09 04:00:00,20.7,11.932088540709177
2014-08-09 05:00:00,20.0,11.932551261722864
2014-08-09 06:00:00,21.3,11.933013982736554
2014-08-09 07:00:00,23.1,11.933476703750244
2014-08-09 08:00:00,22.5,11.933939424763931
2014-08-09 09:00:00,21.7,11.934402145777614
2014-08-09 10:00:00,22.1,11.934864866791322
2014-08-09 11:00:00,21.4,11.935327587804988
2014-08-09 12:00:00,21.6,11.935790308818667
2014-08-09 13:00:00,21.8,11.936253029832368
2014-08-09 14:00:00,20.3,11.936715750846055
2014-08-09 15:00:00,20.1,11.937178471859745
2014-08-09 16:00:00,19.5,11.93764119287344
2014-08-09 17:00:00,19.7,11.938103913887119
2014-08-09 18:00:00,19.8,11.938566634900805
2014-08-09 19:00:00,19.2,11.939029355914485
2014-08-09 20:00:00,19.9,11.939492076928172
2014-08-09 21:00:00,20.2,11.939954797941848
2014-08-09 22:00:00,20.7,11.940417518955549
2014-08-09 23:00:00,19.6,11.940880239969246
2014-08-10 00:00:00,19.4,11.92293409149232
2014-08-10 01:00:00,18.9,11.92339681250602
2014-08-10 02:00:00,19.0,11.923859533519686
2014-08-10 03:00:00,18.1,11.92432225453338
2014-08-10 04:00:00,17.8,11.924784975547066
2014-08-10 05:00:00,17.9,11.92524769656075
2014-08-10 06:00:00,19.7,11.92571041757445
2014-08-10 07:00:00,20.2,11.926173138588126
2014-08-10 08:00:00,20.6,11.926635859601813
2014-08-10 09:00:00,21.4,11.927098580615507
2014-08-10 10:00:00,19.7,11.92756130162918
2014-08-10 11:00:00,19.7,11.928024022642873
2014-08-10 12:00:00,19.9,11.928486743656563
2014-08-10 13:00:00,19.2,11.92894946467025
2014-08-10 14:00:00,19.5,11.929412185683944
2014-08-10 15:00:00,20.1,11.92987490669762
2014-08-10 16:00:00,20.7,11.930337627711317
2014-08-10 17:00:00,21.9,11.930800348724997
2014-08-10 18:00:00,21.6,11.931263069738687
2014-08-10 19:00:00,20.1,11.931725790752367
2014-08-10 20:00:00,20.6,11.932188511766057
2014-08-10 21:00:00,20.7,11.932651232779758
2014-08-10 22:00:00,20.9,11.933113953793448
2014-08-10 23:00:00,21.5,11.933576674807117
2014-08-11 00:00:00,19.8,11.966755482465011
2014-08-11 01:00:00,19.2,11.967218203478701
2014-08-11 02:00:00,18.0,11.967680924492381
2014-08-11 03:00:00,18.7,11.968143645506075
2014-08-11 04:00:00,17.5,11.968606366519758
2014-08-11 05:00:00,16.9,11.969069087533445
2014-08-11 06:00:00,16.1,11.969531808547128
2014-08-11 07:00:00,16.3,11.969994529560818
2014-08-11 08:00:00,16.8,11.970457250574512
2014-08-11 09:00:00,16.8,11.970919971588206
2014-08-11 10:00:00,17.6,11.971382692601878
2014-08-11 11:00:00,17.4,11.971845413615586
2014-08-11 12:00:00,16.1,11.972308134629262
2014-08-11 13:00:00,15.6,11.972770855642938
2014-08-11 14:00:00,17.2,11.973233576656636
2014-08-11 15:00:00,17.0,11.973696297670323
2014-08-11 16:00:00,14.8,11.974159018684016
2014-08-11 17:00:00,14.6,11.974621739697692
2014-08-11 18:00:00,14.6,11.975084460711379
2014-08-11 19:00:00,13.1,11.975547181725066
2014-08-11 20:00:00,12.2,11.976009902738753
2014-08-11 21:00:00,11.4,11.976472623752432
2014-08-11 22:00:00,11.9,11.97693534476613
2014-08-11 23:00:00,10.8,11.977398065779823
2014-08-12 00:00:00,13.2,11.959451917302893
2014-08-12 01:00:00,13.5,11.95991463831658
2014-08-12 02:00:00,11.2,11.960377359330263
2014-08-12 03:00:00,13.4,11.960840080343953
2014-08-12 04:00:00,10.9,11.961302801357654
2014-08-12 05:00:00,11.7,11.961765522371334
2014-08-12 06:00:00,12.4,11.962228243385027
2014-08-12 07:00:00,12.9,11.96269096439871
2014-08-12 08:00:00,15.0,11.96315368541239
2014-08-12 09:00:00,16.0,11.963616406426084
2014-08-12 10:00:00,18.1,11.964079127439767
2014-08-12 11:00:00,18.2,11.964541848453457
2014-08-12 12:00:00,18.8,11.965004569467144
2014-08-12 13:00:00,20.5,11.96546729048083
2014-08-12 14:00:00,19.9,11.96593001149451
2014-08-12 15:00:00,20.6,11.966392732508211
2014-08-12 16:00:00,20.2,11.966855453521887
2014-08-12 17:00:00,19.0,11.967318174535578
2014-08-12 18:00:00,19.3,11.967780895549275
2014-08-12 19:00:00,18.1,11.968243616562962
2014-08-12 20:00:00,19.0,11.96870633757663
2014-08-12 21:00:00,19.2,11.969169058590328
2014-08-12 22:00:00,19.3,11.969631779604022
2014-08-12 23:00:00,19.7,11.970094500617702
2014-08-13 00:00:00,19.4,11.952148352140782
2014-08-13 01:00:00,16.7,11.952611073154458
2014-08-13 02:00:00,13.8,11.953073794168144
2014-08-13 03:00:00,11.7,11.953536515181838
2014-08-13 04:00:00,11.8,11.953999236195525
2014-08-13 05:00:00,11.7,11.954461957209208
2014-08-13 06:00:00,11.9,11.954924678222891
2014-08-13 07:00:00,12.4,11.955387399236582
2014-08-13 08:00:00,11.6,11.955850120250282
2014-08-13 09:00:00,11.9,11.956312841263951
2014-08-13 10:00:00,12.5,11.956775562277638
2014-08-13 11:00:00,12.5,11.957238283291332
2014-08-13 12:00:00,13.2,11.95770100430503
2014-08-13 13:00:00,13.6,11.958163725318716
2014-08-13 14:00:00,12.6,11.958626446332403
2014-08-13 15:00:00,12.4,11.95908916734609
2014-08-13 16:00:00,14.5,11.95955188835977
2014-08-13 17:00:00,12.6,11.960014609373452
2014-08-13 18:00:00,11.4,11.960477330387157
2014-08-13 19:00:00,12.1,11.960940051400833
2014-08-13 20:00:00,11.6,11.961402772414527
2014-08-13 21:00:00,12.8,11.961865493428217
2014-08-13 22:00:00,12.6,11.9623282144419
2014-08-13 23:00:00,10.9,11.962790935455587
2014-08-14 00:00:00,10.9,11.94484478697866
2014-08-14 01:00:00,9.1,11.945307507992343
2014-08-14 02:00:00,10.2,11.945770229006037
2014-08-14 03:00:00,11.2,11.94623295001973
2014-08-14 04:00:00,11.4,11.94669567103341
2014-08-14 05:00:00,13.9,11.94715839204709
2014-08-14 06:00:00,13.2,11.947621113060798
2014-08-14 07:00:00,14.6,11.948083834074474
2014-08-14 08:00:00,14.1,11.948546555088157
2014-08-14 09:00:00,13.7,11.949009276101851
2014-08-14 10:00:00,14.4,11.949471997115538
2014-08-14 11:00:00,15.3,11.949934718129214
2014-08-14 12:00:00,16.1,11.950397439142911
2014-08-14 13:00:00,15.6,11.950860160156594
2014-08-14 14:00:00,15.2,11.951322881170277
2014-08-14 15:00:00,14.4,11.951785602183968
2014-08-14 16:00:00,13.0,11.952248323197654
2014-08-14 17:00:00,13.7,11.952711044211355
2014-08-14 18:00:00,11.7,11.953173765225038
2014-08-14 19:00:00,11.3,11.953636486238722
2014-08-14 20:00:00,12.3,11.954099207252412
2014-08-14 21:00:00,12.4,11.95456192826611
2014-08-14 22:00:00,11.9,11.955024649279789
2014-08-14 23:00:00,12.7,11.955487370293465
2014-08-15 00:00:00,11.1,11.937541221816542
2014-08-15 01:00:00,12.6,11.938003942830228
2014-08-15 02:00:00,13.4,11.938466663843915
2014-08-15 03:00:00,14.1,11.938929384857612
2014-08-15 04:00:00,13.2,11.939392105871285
2014-08-15 05:00:00,13.7,11.939854826884972
2014-08-15 06:00:00,12.9,11.940317547898655
2014-08-15 07:00:00,14.9,11.940780268912352
2014-08-15 08:00:00,15.9,11.94124298992605
2014-08-15 09:00:00,16.3,11.941705710939722
2014-08-15 10:00:00,16.4,11.94216843195342
2014-08-15 11:00:00,16.3,11.94263115296711
2014-08-15 12:00:00,18.4,11.943093873980779
2014-08-15 13:00:00,18.7,11.943556594994472
2014-08-15 14:00:00,18.8,11.944019316008166
2014-08-15 15:00:00,17.3,11.94448203702186
2014-08-15 16:00:00,16.6,11.94494475803554
2014-08-15 17:00:00,15.5,11.945407479049226
2014-08-15 18:00:00,14.9,11.945870200062917
2014-08-15 19:00:00,12.4,11.9463329210766
2014-08-15 20:00:00,11.8,11.94679564209029
2014-08-15 21:00:00,11.7,11.947258363103973
