,civil_true,civil
2014-06-24 16:00:00,368.09337999999997,274.1693216951889
2014-06-24 17:00:00,381.2273,346.74789547195667
2014-06-24 18:00:00,380.13917000000004,348.89990481706025
2014-06-24 19:00:00,320.3302,333.70383076330427
2014-06-24 20:00:00,254.10699,262.07861142778904
2014-06-24 21:00:00,193.01899,195.14529702256993
2014-06-24 22:00:00,140.10151000000002,169.1966176628697
2014-06-24 23:00:00,140.73147999999998,163.69278425189137
2014-06-25 00:00:00,137.61981,126.44709331406072
2014-06-25 01:00:00,133.36274,125.1947470927815
2014-06-25 02:00:00,133.74453999999997,127.73549004000631
2014-06-25 03:00:00,135.38628,126.78357425397171
2014-06-25 04:00:00,130.30834,127.3427340736788
2014-06-25 05:00:00,150.33375,129.42191249618045
2014-06-25 06:00:00,157.05343,126.29755994185489
2014-06-25 07:00:00,147.77569,135.508382332309
2014-06-25 08:00:00,213.50256,162.42774761174942
2014-06-25 09:00:00,277.43497,294.2642467904345
2014-06-25 10:00:00,314.0305,282.30939610786135
2014-06-25 11:00:00,340.0501700000001,318.2251571564382
2014-06-25 12:00:00,342.89458,376.6899540195361
2014-06-25 13:00:00,363.22542999999996,362.41970067782165
2014-06-25 14:00:00,332.52871,378.8077558277132
2014-06-25 15:00:00,354.99763999999993,376.6091125995017
2014-06-25 16:00:00,359.98013000000014,367.91246766502456
2014-06-25 17:00:00,363.74086,372.84689884469276
2014-06-25 18:00:00,359.35016,384.6006609443451
2014-06-25 19:00:00,316.0158600000001,326.74720334864753
2014-06-25 20:00:00,239.92312,272.29755394663067
2014-06-25 21:00:00,183.0731,195.9251363898267
2014-06-25 22:00:00,135.00447999999997,172.59648524701572
2014-06-25 23:00:00,127.50211000000002,161.02088959801807
2014-06-26 00:00:00,133.61091000000002,123.3793850492007
2014-06-26 01:00:00,128.05571999999998,124.15112316428454
2014-06-26 02:00:00,127.02486,124.30614276499402
2014-06-26 03:00:00,128.53296999999998,123.84100850016313
2014-06-26 04:00:00,128.76205,129.65641986403693
2014-06-26 05:00:00,154.41901000000001,123.81818122334556
2014-06-26 23:00:00,138.72702999999998,154.22035979143175
2014-06-27 00:00:00,143.82406,117.31629040545734
2014-06-27 01:00:00,142.64047999999997,115.96998886159128
2014-06-27 02:00:00,141.01782999999998,117.49037554256972
2014-06-27 03:00:00,138.95611,113.24596427371151
2014-06-27 04:00:00,146.993,118.94449025642662
2014-06-27 05:00:00,162.78043,124.66482520989634
2014-06-27 06:00:00,164.42217,119.3488929202035
2014-06-27 07:00:00,160.96688,135.10591795480735
2014-06-27 08:00:00,213.44529,167.64254721661567
2014-06-27 09:00:00,258.45951,340.4803848564401
2014-06-27 10:00:00,289.13714,286.9584844608844
2014-06-27 11:00:00,321.39924,327.33897583823796
2014-06-27 12:00:00,317.44761,344.34905405221616
2014-06-27 13:00:00,330.56244,367.3262832396856
2014-06-27 14:00:00,337.87391,355.95120314687074
2014-06-27 15:00:00,357.46025,384.36029164310503
2014-06-27 16:00:00,378.59288,384.70899839934
2014-06-27 17:00:00,379.45193,371.00462619520283
2014-06-27 18:00:00,349.38518,345.45924945828006
2014-06-27 19:00:00,323.1746100000001,305.36379644404155
2014-06-27 20:00:00,268.27176999999995,246.9312004691404
2014-06-27 21:00:00,204.89297,174.20745174205305
2014-06-27 22:00:00,143.30863,156.64596727525446
2014-06-27 23:00:00,134.67995,148.4482983925563
2014-06-28 00:00:00,134.16451999999998,106.67139693474977
2014-06-28 01:00:00,129.71654999999998,109.97771978665892
2014-06-28 02:00:00,129.0484,107.6326825005001
2014-06-28 03:00:00,130.51833,112.99241528878827
2014-06-28 04:00:00,130.61378,110.54181053973323
2014-06-28 05:00:00,126.22307999999998,115.38004222927543
2014-06-28 06:00:00,120.72516,117.53640626484426
2014-06-28 07:00:00,118.35799999999999,118.474720101542
2014-06-28 08:00:00,147.14571999999995,254.19451556503165
2014-06-28 09:00:00,169.78646,191.78821190545014
2014-06-28 10:00:00,164.68943000000004,189.74575403231682
