,wt_hr_true,wt_hr
2014-08-02 14:00:00,61.8,59.818999999999996
2014-08-02 15:00:00,64.8,55.602
2014-08-02 16:00:00,71.2,65.13899999999998
2014-08-02 17:00:00,72.3,64.79799999999999
2014-08-02 18:00:00,73.7,63.684
2014-08-02 19:00:00,72.0,66.28000000000002
2014-08-02 20:00:00,78.2,75.01999999999995
2014-08-02 21:00:00,81.1,75.43899999999994
2014-08-02 22:00:00,80.0,76.13699999999993
2014-08-02 23:00:00,78.7,76.61499999999992
2014-08-03 00:00:00,77.5,77.55399999999996
2014-08-03 01:00:00,78.3,77.74699999999997
2014-08-03 02:00:00,79.1,77.75299999999999
2014-08-03 03:00:00,78.4,78.70699999999997
2014-08-03 04:00:00,75.3,78.78599999999997
2014-08-03 05:00:00,74.1,78.29499999999994
2014-08-03 06:00:00,75.4,79.65199999999999
2014-08-03 07:00:00,74.5,74.91400000000004
2014-08-03 08:00:00,74.1,73.96800000000006
2014-08-03 09:00:00,67.7,73.82400000000004
2014-08-03 10:00:00,59.0,73.61600000000001
2014-08-03 11:00:00,55.8,73.43100000000003
2014-08-03 12:00:00,50.8,70.88600000000001
2014-08-03 13:00:00,49.2,72.57900000000001
2014-08-03 14:00:00,47.7,56.574
2014-08-03 15:00:00,40.9,52.705999999999996
2014-08-03 16:00:00,36.4,59.50399999999996
2014-08-03 17:00:00,38.1,63.52799999999996
2014-08-03 18:00:00,38.7,62.602999999999966
2014-08-03 19:00:00,41.7,64.13299999999998
2014-08-03 20:00:00,46.5,73.76699999999994
2014-08-03 21:00:00,50.8,74.06699999999994
2014-08-03 22:00:00,54.1,74.59599999999993
2014-08-03 23:00:00,60.2,74.83199999999992
2014-08-04 00:00:00,69.5,77.75999999999999
2014-08-04 01:00:00,71.5,77.62699999999998
2014-08-04 02:00:00,72.2,77.19899999999998
2014-08-04 03:00:00,72.4,77.28199999999998
2014-08-04 04:00:00,71.7,77.45699999999998
2014-08-04 05:00:00,70.6,69.09699999999994
2014-08-04 06:00:00,71.6,77.38600000000001
2014-08-04 07:00:00,68.0,75.542
2014-08-04 08:00:00,59.4,71.623
2014-08-04 09:00:00,51.1,73.09700000000001
2014-08-04 10:00:00,44.7,73.04100000000001
2014-08-04 11:00:00,40.3,73.99399999999999
2014-08-04 12:00:00,38.9,75.28999999999998
2014-08-04 13:00:00,38.7,75.109
2014-08-04 14:00:00,35.1,57.114
2014-08-04 15:00:00,31.8,57.22999999999998
2014-08-04 16:00:00,38.5,64.30900000000001
2014-08-04 17:00:00,45.7,64.85300000000001
2014-08-04 18:00:00,53.8,63.37700000000004
2014-08-04 19:00:00,61.4,65.24600000000002
2014-08-04 20:00:00,65.7,73.98399999999991
2014-08-04 21:00:00,68.3,74.7179999999999
2014-08-04 22:00:00,69.2,75.37099999999994
2014-08-04 23:00:00,72.0,75.67699999999992
2014-08-05 00:00:00,72.6,71.278
2014-08-05 01:00:00,71.7,71.041
2014-08-05 02:00:00,72.0,70.16300000000001
2014-08-05 03:00:00,72.4,70.58000000000001
2014-08-05 04:00:00,72.6,71.31400000000001
2014-08-05 05:00:00,72.9,70.77099999999999
2014-08-05 06:00:00,71.4,70.02899999999998
2014-08-05 07:00:00,68.3,73.75000000000001
2014-08-05 08:00:00,61.9,72.43800000000003
2014-08-05 09:00:00,54.3,71.16500000000003
2014-08-05 10:00:00,47.3,71.43100000000003
2014-08-05 11:00:00,42.6,75.02300000000001
2014-08-05 12:00:00,43.6,74.09400000000004
2014-08-05 13:00:00,42.2,74.30100000000002
2014-08-05 14:00:00,44.9,60.013000000000005
2014-08-05 15:00:00,48.1,54.64599999999999
2014-08-05 16:00:00,52.2,63.57699999999998
2014-08-05 17:00:00,53.0,63.202
2014-08-05 18:00:00,56.0,62.20000000000001
2014-08-05 19:00:00,62.9,64.24100000000001
2014-08-05 20:00:00,68.5,67.08399999999997
2014-08-05 21:00:00,71.2,69.63399999999996
2014-08-05 22:00:00,71.1,69.54899999999996
2014-08-05 23:00:00,71.0,67.45299999999996
2014-08-06 00:00:00,71.7,71.06700000000002
2014-08-06 01:00:00,72.4,71.768
2014-08-06 02:00:00,70.9,70.272
2014-08-06 03:00:00,71.6,70.49700000000001
2014-08-06 04:00:00,70.8,78.52999999999999
2014-08-06 05:00:00,70.5,78.615
2014-08-06 06:00:00,69.4,76.98999999999997
2014-08-06 07:00:00,66.1,68.92799999999998
2014-08-06 08:00:00,61.9,73.03400000000005
2014-08-06 09:00:00,58.6,72.29800000000004
2014-08-06 10:00:00,53.2,71.95400000000004
2014-08-06 11:00:00,49.8,72.04800000000003
2014-08-06 12:00:00,47.8,70.11100000000003
2014-08-06 13:00:00,45.9,70.90800000000003
2014-08-06 14:00:00,45.5,59.33800000000002
2014-08-06 15:00:00,45.9,54.257000000000005
2014-08-06 16:00:00,47.6,63.154999999999994
2014-08-06 17:00:00,54.5,62.98
2014-08-06 18:00:00,57.2,61.87500000000001
2014-08-06 19:00:00,62.4,62.23300000000003
2014-08-06 20:00:00,65.5,71.76999999999997
2014-08-06 21:00:00,69.1,73.67499999999997
2014-08-06 22:00:00,72.3,74.20899999999996
2014-08-06 23:00:00,73.4,72.62499999999997
2014-08-07 00:00:00,73.7,79.77999999999999
2014-08-07 01:00:00,73.5,79.41899999999998
2014-08-07 02:00:00,72.4,79.36099999999999
2014-08-07 03:00:00,71.3,79.78799999999997
2014-08-07 04:00:00,70.8,75.26399999999997
2014-08-07 05:00:00,70.2,75.07699999999996
2014-08-07 06:00:00,68.6,79.209
2014-08-07 07:00:00,68.1,73.50299999999999
2014-08-07 08:00:00,68.5,73.18200000000003
2014-08-07 09:00:00,69.6,72.19100000000005
2014-08-07 10:00:00,65.2,73.07000000000002
2014-08-07 11:00:00,58.3,73.48400000000004
2014-08-07 12:00:00,54.5,72.79500000000002
2014-08-07 13:00:00,52.8,71.16500000000002
2014-08-07 14:00:00,48.3,59.28099999999999
2014-08-07 15:00:00,50.1,55.019
2014-08-07 16:00:00,51.2,62.08599999999999
2014-08-07 17:00:00,58.5,62.778999999999996
2014-08-07 18:00:00,62.0,61.74200000000002
2014-08-07 19:00:00,65.8,63.235000000000035
2014-08-07 20:00:00,69.3,67.82799999999996
2014-08-07 21:00:00,71.7,70.01999999999998
2014-08-07 22:00:00,73.9,70.41199999999999
2014-08-07 23:00:00,74.3,69.29599999999999
2014-08-08 00:00:00,73.9,78.22099999999999
2014-08-08 01:00:00,72.0,78.30799999999998
2014-08-08 02:00:00,72.5,78.323
2014-08-08 03:00:00,73.0,77.93899999999998
2014-08-08 04:00:00,71.1,78.05499999999999
2014-08-08 05:00:00,71.2,77.85899999999998
2014-08-08 06:00:00,71.4,78.37099999999998
2014-08-08 07:00:00,68.4,76.476
2014-08-08 08:00:00,65.3,74.469
2014-08-08 09:00:00,61.0,73.65800000000004
2014-08-08 10:00:00,55.7,72.45499999999998
2014-08-08 11:00:00,55.2,72.26100000000001
2014-08-08 12:00:00,55.8,73.36699999999999
2014-08-08 13:00:00,53.4,69.63999999999996
2014-08-08 14:00:00,52.4,58.308
2014-08-08 15:00:00,50.1,54.95700000000001
2014-08-08 16:00:00,52.9,58.821000000000005
2014-08-08 17:00:00,57.2,62.74899999999998
2014-08-08 18:00:00,60.9,62.209
2014-08-08 19:00:00,66.4,64.59700000000001
2014-08-08 20:00:00,69.2,68.37399999999998
2014-08-08 21:00:00,71.6,70.066
2014-08-08 22:00:00,71.5,70.036
2014-08-08 23:00:00,73.3,70.13999999999999
2014-08-09 00:00:00,73.1,79.264
2014-08-09 01:00:00,73.7,79.142
2014-08-09 02:00:00,73.9,79.669
2014-08-09 03:00:00,73.8,79.39899999999996
2014-08-09 04:00:00,75.3,79.18999999999997
2014-08-09 05:00:00,74.5,78.82399999999994
2014-08-09 06:00:00,70.7,79.63799999999998
2014-08-09 07:00:00,63.7,76.77900000000004
2014-08-09 08:00:00,61.9,74.61900000000009
2014-08-09 09:00:00,62.4,73.81000000000006
2014-08-09 10:00:00,59.8,74.69400000000005
2014-08-09 11:00:00,57.3,73.83500000000001
2014-08-09 12:00:00,43.9,72.23299999999999
2014-08-09 13:00:00,42.8,69.893
2014-08-09 14:00:00,44.8,59.818999999999996
2014-08-09 15:00:00,46.8,55.602
2014-08-09 16:00:00,49.5,65.13899999999998
2014-08-09 17:00:00,50.8,64.79799999999999
2014-08-09 18:00:00,54.8,63.684
2014-08-09 19:00:00,61.6,66.28000000000002
2014-08-09 20:00:00,66.4,75.01999999999995
2014-08-09 21:00:00,68.4,75.43899999999994
2014-08-09 22:00:00,70.6,76.13699999999993
2014-08-09 23:00:00,73.3,76.61499999999992
2014-08-10 00:00:00,73.2,77.55399999999996
2014-08-10 01:00:00,74.8,77.74699999999997
2014-08-10 02:00:00,75.2,77.75299999999999
2014-08-10 03:00:00,74.4,78.70699999999997
2014-08-10 04:00:00,76.1,78.78599999999997
2014-08-10 05:00:00,77.5,78.29499999999994
2014-08-10 06:00:00,75.5,79.65199999999999
2014-08-10 07:00:00,73.0,74.91400000000004
2014-08-10 08:00:00,66.4,73.96800000000006
