,wt_mean_windspd_true,wt_mean_windspd
2014-08-02 14:00:00,6.4,4.832000000000001
2014-08-02 15:00:00,5.6,4.8229999999999995
2014-08-02 16:00:00,5.1,4.993999999999997
2014-08-02 17:00:00,5.4,5.016999999999996
2014-08-02 18:00:00,4.8,4.911999999999997
2014-08-02 19:00:00,5.0,4.9399999999999995
2014-08-02 20:00:00,4.0,4.8839999999999995
2014-08-02 21:00:00,4.0,4.901000000000001
2014-08-02 22:00:00,4.3,4.8500000000000005
2014-08-02 23:00:00,3.2,4.845000000000001
2014-08-03 00:00:00,3.1,4.774
2014-08-03 01:00:00,1.6,4.7749999999999995
2014-08-03 02:00:00,2.1,4.786000000000001
2014-08-03 03:00:00,1.2,4.898000000000001
2014-08-03 04:00:00,2.0,4.798000000000001
2014-08-03 05:00:00,2.1,4.553000000000001
2014-08-03 06:00:00,2.5,4.537000000000001
2014-08-03 07:00:00,2.7,4.796000000000001
2014-08-03 08:00:00,3.8,4.815
2014-08-03 09:00:00,3.8,4.865000000000002
2014-08-03 10:00:00,3.8,4.812000000000005
2014-08-03 11:00:00,2.9,4.790000000000003
2014-08-03 12:00:00,3.4,4.806000000000004
2014-08-03 13:00:00,4.6,4.909000000000001
2014-08-03 14:00:00,5.9,4.805000000000001
2014-08-03 15:00:00,7.6,4.826999999999999
2014-08-03 16:00:00,7.8,4.968999999999998
2014-08-03 17:00:00,8.5,4.996999999999999
2014-08-03 18:00:00,8.4,4.999999999999999
2014-08-03 19:00:00,8.5,4.886999999999998
2014-08-03 20:00:00,6.7,4.747000000000001
2014-08-03 21:00:00,5.7,4.757
2014-08-03 22:00:00,6.0,4.895
2014-08-03 23:00:00,7.0,4.908
2014-08-04 00:00:00,7.6,4.172000000000002
2014-08-04 01:00:00,7.4,4.173000000000003
2014-08-04 02:00:00,6.8,4.094000000000003
2014-08-04 03:00:00,4.6,4.852000000000001
2014-08-04 04:00:00,4.2,4.950000000000002
2014-08-04 05:00:00,4.7,4.4879999999999995
2014-08-04 06:00:00,5.3,4.961000000000001
2014-08-04 07:00:00,5.9,4.804000000000003
2014-08-04 08:00:00,5.9,4.830000000000002
2014-08-04 09:00:00,5.7,5.046000000000002
2014-08-04 10:00:00,5.9,4.908000000000002
2014-08-04 11:00:00,4.9,4.860000000000001
2014-08-04 12:00:00,5.7,4.806000000000001
2014-08-04 13:00:00,7.4,4.961
2014-08-04 14:00:00,8.1,4.643999999999998
2014-08-04 15:00:00,8.0,4.741999999999998
2014-08-04 16:00:00,8.3,4.669999999999998
2014-08-04 17:00:00,6.8,4.802999999999996
2014-08-04 18:00:00,7.1,4.959999999999999
2014-08-04 19:00:00,8.4,4.914
2014-08-04 20:00:00,5.7,4.971999999999998
2014-08-04 21:00:00,5.7,5.008000000000001
2014-08-04 22:00:00,4.1,5.000000000000003
2014-08-04 23:00:00,5.7,5.018000000000003
2014-08-05 00:00:00,6.2,4.3919999999999995
2014-08-05 01:00:00,5.9,4.386000000000001
2014-08-05 02:00:00,5.7,4.083
2014-08-05 03:00:00,5.3,4.918000000000003
2014-08-05 04:00:00,5.3,4.854000000000001
2014-08-05 05:00:00,3.9,4.442
2014-08-05 06:00:00,3.3,4.622999999999996
2014-08-05 07:00:00,5.6,5.030999999999999
2014-08-05 08:00:00,5.7,4.947000000000002
2014-08-05 09:00:00,6.1,4.950999999999999
2014-08-05 10:00:00,6.6,5.058999999999999
2014-08-05 11:00:00,6.1,4.982
2014-08-05 12:00:00,6.3,4.892
2014-08-05 13:00:00,6.5,4.925000000000002
2014-08-05 14:00:00,7.7,4.457999999999999
2014-08-05 15:00:00,8.4,4.623999999999998
2014-08-05 16:00:00,8.8,4.52
2014-08-05 17:00:00,8.2,5.020999999999998
2014-08-05 18:00:00,7.0,4.879999999999997
2014-08-05 19:00:00,8.0,4.897999999999997
2014-08-05 20:00:00,8.0,4.9239999999999995
2014-08-05 21:00:00,7.4,4.900999999999999
2014-08-05 22:00:00,6.3,4.888
2014-08-05 23:00:00,5.4,4.4730000000000025
2014-08-06 00:00:00,6.2,4.330000000000001
2014-08-06 01:00:00,6.4,3.998
2014-08-06 02:00:00,6.9,4.437
2014-08-06 03:00:00,5.8,4.911000000000001
2014-08-06 04:00:00,5.5,4.585000000000001
2014-08-06 05:00:00,5.9,4.635
2014-08-06 06:00:00,5.1,4.603
2014-08-06 07:00:00,7.1,4.792999999999999
2014-08-06 08:00:00,6.1,4.882000000000001
2014-08-06 09:00:00,6.2,4.909000000000001
2014-08-06 10:00:00,6.0,4.819
2014-08-06 11:00:00,5.5,4.828
2014-08-06 12:00:00,6.1,4.957999999999999
2014-08-06 13:00:00,5.8,4.721
2014-08-06 14:00:00,7.6,4.6599999999999975
2014-08-06 15:00:00,8.9,4.738999999999999
2014-08-06 16:00:00,9.5,4.537000000000001
2014-08-06 17:00:00,8.9,4.532
2014-08-06 18:00:00,7.0,4.668999999999999
2014-08-06 19:00:00,6.7,4.664999999999999
2014-08-06 20:00:00,7.9,4.763999999999999
2014-08-06 21:00:00,7.6,4.778000000000001
2014-08-06 22:00:00,7.7,4.742000000000001
2014-08-06 23:00:00,6.2,4.514000000000004
2014-08-07 00:00:00,7.2,4.4570000000000025
2014-08-07 01:00:00,5.8,4.488000000000003
2014-08-07 02:00:00,5.5,4.459000000000001
2014-08-07 03:00:00,4.8,4.9010000000000025
2014-08-07 04:00:00,5.1,5.058
2014-08-07 05:00:00,4.8,4.797000000000001
2014-08-07 06:00:00,5.5,4.9300000000000015
2014-08-07 07:00:00,5.4,4.65
2014-08-07 08:00:00,4.7,4.866000000000001
2014-08-07 09:00:00,5.5,4.9190000000000005
2014-08-07 10:00:00,5.2,4.975999999999999
2014-08-07 11:00:00,5.3,5.024999999999999
2014-08-07 12:00:00,5.3,5.0280000000000005
2014-08-07 13:00:00,6.1,4.885999999999999
2014-08-07 14:00:00,5.7,4.662999999999998
2014-08-07 15:00:00,6.7,4.7399999999999975
2014-08-07 16:00:00,6.5,4.7299999999999995
2014-08-07 17:00:00,8.1,4.564
2014-08-07 18:00:00,8.0,4.6659999999999995
2014-08-07 19:00:00,7.8,4.635000000000002
2014-08-07 20:00:00,6.3,4.54
2014-08-07 21:00:00,4.3,4.942999999999997
2014-08-07 22:00:00,4.1,4.525000000000004
2014-08-07 23:00:00,3.7,4.442000000000002
2014-08-08 00:00:00,4.9,4.690000000000001
2014-08-08 01:00:00,5.9,4.707000000000001
2014-08-08 02:00:00,4.5,4.782000000000002
2014-08-08 03:00:00,3.8,4.927000000000001
2014-08-08 04:00:00,4.7,4.925000000000002
2014-08-08 05:00:00,2.9,4.743
2014-08-08 06:00:00,2.5,5.045000000000003
2014-08-08 07:00:00,1.8,4.608000000000002
2014-08-08 08:00:00,1.2,4.742000000000002
2014-08-08 09:00:00,2.7,5.023999999999999
2014-08-08 10:00:00,2.3,5.0520000000000005
2014-08-08 11:00:00,3.4,4.995000000000002
2014-08-08 12:00:00,5.0,5.062
2014-08-08 13:00:00,5.2,4.991000000000002
2014-08-08 14:00:00,5.7,4.747999999999999
2014-08-08 15:00:00,5.3,4.781
2014-08-08 16:00:00,5.7,4.963999999999996
2014-08-08 17:00:00,6.5,4.942999999999996
2014-08-08 18:00:00,5.4,4.670000000000002
2014-08-08 19:00:00,4.6,4.571000000000001
2014-08-08 20:00:00,4.3,4.475
2014-08-08 21:00:00,4.7,4.723
2014-08-08 22:00:00,4.2,4.415000000000002
2014-08-08 23:00:00,3.1,4.4380000000000015
2014-08-09 00:00:00,2.6,4.557000000000003
2014-08-09 01:00:00,2.8,4.433000000000002
2014-08-09 02:00:00,2.5,4.521000000000003
2014-08-09 03:00:00,0.9,4.939000000000001
2014-08-09 04:00:00,0.4,4.947000000000001
2014-08-09 05:00:00,1.5,4.673000000000001
2014-08-09 06:00:00,0.9,4.587999999999999
2014-08-09 07:00:00,0.4,4.7650000000000015
2014-08-09 08:00:00,1.4,4.855
2014-08-09 09:00:00,3.0,5.028
2014-08-09 10:00:00,3.4,5.039000000000002
2014-08-09 11:00:00,4.5,4.991000000000003
2014-08-09 12:00:00,4.1,5.07
2014-08-09 13:00:00,4.1,5.011000000000001
