,south_tower_true,south_tower
2014-06-11 06:00:00,121.43637796853164,125.15138226922144
2014-06-11 07:00:00,130.99650733058633,134.7437957806582
2014-06-11 08:00:00,161.8179363527359,157.1620496577233
2014-06-11 09:00:00,321.861649666316,362.4963895215153
2014-06-11 10:00:00,270.62536664615385,312.65285820780207
2014-06-11 11:00:00,329.5038551386945,341.0736454263753
2014-06-11 12:00:00,344.8295763869427,368.30367541291815
2014-06-11 13:00:00,335.1510416342586,367.1322950897574
2014-06-11 14:00:00,334.3787925372347,367.22234894156855
2014-06-11 15:00:00,342.38037232185656,366.63319399558003
2014-06-11 16:00:00,354.7149995169365,365.7486972866651
2014-06-11 17:00:00,352.88386710229963,369.3328977639288
2014-06-11 18:00:00,330.2774084009517,354.29150109737674
2014-06-11 19:00:00,261.7423981411837,255.74465795307296
2014-06-11 20:00:00,188.7122425752157,214.93171992044253
2014-06-11 21:00:00,162.7123515635007,159.07364373618063
2014-06-11 22:00:00,136.6685769084853,145.8930464765454
2014-06-11 23:00:00,134.9719377002379,137.09213125713788
2014-06-12 00:00:00,115.33029210340996,129.8575504621121
2014-06-12 01:00:00,112.32788072865692,134.40775412173073
2014-06-12 02:00:00,113.40290902512743,133.0849814405514
2014-06-12 03:00:00,113.9683302014274,130.59303649933096
2014-06-12 04:00:00,107.89440956027771,129.73334285217453
2014-06-12 05:00:00,108.76354592482157,129.55905408118826
2014-06-12 06:00:00,113.39113688818395,125.22208443941514
2014-06-12 07:00:00,110.43974862932885,123.36953594216173
2014-06-12 08:00:00,112.05657503796465,127.2224598489142
2014-06-12 09:00:00,121.11797057607764,140.58736311414907
2014-06-12 10:00:00,117.85009575892151,146.7193333698103
2014-06-12 11:00:00,113.38752088828757,141.2923826619865
2014-06-12 12:00:00,116.86511220562885,161.4589769217128
2014-06-12 13:00:00,114.55407086946869,379.77286874361437
2014-06-12 14:00:00,112.93476488897377,397.03151657563797
2014-06-12 15:00:00,115.93489940922815,379.2923095980392
2014-06-12 16:00:00,116.89444505179888,408.24440064637105
2014-06-12 17:00:00,115.15327899114729,396.58467569622405
2014-06-12 18:00:00,124.05383187754455,370.970597517455
2014-06-12 19:00:00,121.91941231657414,313.9882203862915
2014-06-12 20:00:00,121.16718395499521,226.04085279365188
2014-06-12 21:00:00,121.34539133673631,159.7535975519013
2014-06-12 22:00:00,115.21462800796257,132.9473390307379
2014-06-12 23:00:00,107.70428238035898,129.71810613426885
2014-06-13 00:00:00,150.994944,135.54230275193294
2014-06-13 01:00:00,146.7667726220975,139.35418371255744
2014-06-13 02:00:00,143.18911877986437,130.3504316092249
2014-06-13 03:00:00,146.76419398529592,130.69631034073478
2014-06-13 04:00:00,143.97964058473337,130.19917677825285
2014-06-13 05:00:00,145.65773485874936,128.42247886262024
2014-06-13 06:00:00,143.53321220836887,125.88370555688445
2014-06-13 07:00:00,143.4521514319183,131.8320103269308
2014-06-13 08:00:00,150.06176074348502,162.65881108133476
2014-06-13 09:00:00,328.53884063945685,366.2666183619226
2014-06-13 10:00:00,246.9314568837497,304.5725745574946
2014-06-13 11:00:00,313.3148380232338,337.3955285607924
2014-06-13 12:00:00,324.71019084741465,365.1263817092898
2014-06-13 13:00:00,343.5684778800628,357.0882735702811
2014-06-13 14:00:00,355.7587911736263,359.00301299701334
2014-06-13 15:00:00,355.3959654444676,353.1914173888204
2014-06-13 16:00:00,351.5700839686029,361.68864172211664
2014-06-13 17:00:00,280.11875882860807,361.2297414782967
2014-06-13 18:00:00,288.39313305117724,361.92316083900494
2014-06-13 19:00:00,241.68837280753536,301.8301618528178
2014-06-13 20:00:00,175.8022330355776,192.32174450022484
2014-06-13 21:00:00,151.12268929949238,157.62348273472324
2014-06-13 22:00:00,150.93058085777074,140.60232371961027
2014-06-13 23:00:00,150.73716220784928,135.11649366934924
2014-06-14 00:00:00,150.12694694379903,123.30283400824419
2014-06-14 01:00:00,150.41715722448978,122.30159099153695
2014-06-14 02:00:00,150.12464070997774,122.58723037297503
2014-06-14 03:00:00,149.78071189309026,120.22435638004806
2014-06-14 04:00:00,150.06192535510206,121.76989387188182
2014-06-14 05:00:00,150.9630076751269,122.75075373249307
2014-06-14 06:00:00,149.51821151311745,113.24017790669933
2014-06-14 07:00:00,150.4174831053558,121.04925495496789
2014-06-14 08:00:00,240.24390586875973,156.23334913909358
2014-06-14 09:00:00,297.1891548031398,361.3498831405684
2014-06-14 10:00:00,232.73537591357967,174.28290566309173
2014-06-14 11:00:00,238.8237287527927,207.0266614765434
2014-06-14 12:00:00,269.7579474017961,210.30323415906358
2014-06-14 13:00:00,307.3733463208792,212.03704644932728
2014-06-14 14:00:00,290.88947657821166,213.67805875977072
2014-06-14 15:00:00,237.77818845839886,181.0284006260013
2014-06-14 16:00:00,151.8333109651491,216.60980679108013
2014-06-14 17:00:00,150.99494399999998,204.80811856387027
2014-06-14 18:00:00,150.93041624615384,196.36123682678664
2014-06-14 19:00:00,150.994944,278.5896860265888
2014-06-14 20:00:00,149.34948627692302,191.21904275972346
2014-06-14 21:00:00,148.0397694050761,170.94828073526315
