,wt_tmpap_true,wt_tmpap
2014-04-21 15:00:00,11.7,12.523
2014-04-21 16:00:00,11.7,12.545999999999998
2014-04-21 17:00:00,10.8,12.498999999999997
2014-04-21 18:00:00,10.5,12.606000000000002
2014-04-21 19:00:00,10.5,12.583999999999994
2014-04-21 20:00:00,10.8,12.488999999999997
2014-04-21 21:00:00,10.4,12.642000000000001
2014-04-21 22:00:00,10.3,12.624000000000002
2014-04-21 23:00:00,11.0,12.631000000000002
2014-04-22 00:00:00,11.0,12.044999999999995
2014-04-22 01:00:00,11.3,12.051999999999996
2014-04-22 02:00:00,11.1,12.246999999999998
2014-04-22 03:00:00,10.2,12.267999999999999
2014-04-22 04:00:00,10.0,12.262
2014-04-22 05:00:00,10.1,12.270000000000003
2014-04-22 06:00:00,11.3,12.559
2014-04-22 07:00:00,12.5,12.434000000000003
2014-04-22 08:00:00,11.6,12.909999999999998
2014-04-22 09:00:00,11.3,12.434000000000001
2014-04-22 10:00:00,11.0,12.091000000000001
2014-04-22 11:00:00,10.7,12.181000000000001
2014-04-22 12:00:00,11.0,12.200999999999999
2014-04-22 13:00:00,11.7,12.195
2014-04-22 14:00:00,11.2,12.219
2014-04-22 15:00:00,10.7,12.571999999999997
2014-04-22 16:00:00,10.4,12.554999999999998
2014-04-22 17:00:00,10.4,12.649999999999999
2014-04-22 18:00:00,10.4,12.727
2014-04-22 19:00:00,11.1,12.545
2014-04-22 20:00:00,11.6,12.555
2014-04-22 21:00:00,11.6,12.705000000000002
2014-04-22 22:00:00,11.5,12.924000000000003
2014-04-22 23:00:00,11.1,12.374
2014-04-23 00:00:00,10.8,12.294999999999998
2014-04-23 01:00:00,10.6,12.223000000000004
2014-04-23 02:00:00,10.7,12.214000000000004
2014-04-23 03:00:00,10.9,12.274
2014-04-23 04:00:00,9.6,12.442
2014-04-23 05:00:00,8.0,12.421000000000001
2014-04-23 06:00:00,7.4,12.479000000000003
2014-04-23 07:00:00,9.3,13.030999999999997
2014-04-23 08:00:00,9.7,12.574000000000002
2014-04-23 09:00:00,12.0,12.357000000000006
2014-04-23 10:00:00,12.6,12.15
2014-04-23 11:00:00,12.3,12.030999999999999
2014-04-23 12:00:00,13.6,12.047999999999996
2014-04-23 13:00:00,15.6,12.171000000000001
2014-04-23 14:00:00,13.7,12.187999999999999
2014-04-23 15:00:00,12.9,12.614999999999993
2014-04-23 16:00:00,12.6,12.562999999999995
2014-04-23 17:00:00,11.2,12.643999999999995
2014-04-23 18:00:00,10.3,12.793
2014-04-23 19:00:00,9.1,12.662
2014-04-23 20:00:00,9.3,12.571000000000003
2014-04-23 21:00:00,8.7,12.859000000000004
2014-04-23 22:00:00,9.3,12.980000000000004
2014-04-23 23:00:00,9.7,12.95399999999999
2014-04-24 00:00:00,9.3,12.271999999999998
2014-04-24 01:00:00,8.7,12.317999999999998
2014-04-24 02:00:00,9.7,12.318
2014-04-24 03:00:00,9.9,12.341999999999993
2014-04-24 04:00:00,10.3,12.341999999999993
2014-04-24 05:00:00,10.9,12.852000000000006
2014-04-24 06:00:00,10.8,12.562999999999999
2014-04-24 07:00:00,10.3,12.814999999999998
2014-04-24 08:00:00,9.0,12.920999999999994
2014-04-24 09:00:00,7.4,12.825999999999999
2014-04-24 10:00:00,9.2,12.057
2014-04-24 11:00:00,8.7,12.056000000000001
2014-04-24 12:00:00,9.8,12.061
2014-04-24 13:00:00,8.3,12.205
2014-04-24 14:00:00,8.5,12.196999999999997
2014-04-24 15:00:00,8.6,12.604999999999995
2014-04-24 16:00:00,8.2,12.628999999999998
2014-04-24 17:00:00,7.4,12.643999999999998
2014-04-24 18:00:00,7.0,12.844
2014-04-24 19:00:00,8.2,12.717999999999991
2014-04-24 20:00:00,8.7,12.654999999999996
2014-04-24 21:00:00,9.1,12.984000000000002
2014-04-24 22:00:00,9.1,12.901000000000003
2014-04-24 23:00:00,8.8,12.825000000000003
2014-04-25 00:00:00,8.5,12.121000000000011
2014-04-25 01:00:00,9.2,12.361000000000006
2014-04-25 02:00:00,9.8,12.494000000000007
2014-04-25 03:00:00,9.5,12.531000000000004
2014-04-25 04:00:00,9.0,12.945000000000002
2014-04-25 05:00:00,9.1,12.872000000000007
2014-04-25 06:00:00,9.3,13.012999999999998
2014-04-25 07:00:00,10.7,12.854000000000001
