,south_tower_true
2014-01-23 06:00:00,121.35342177446472
2014-01-23 07:00:00,127.98820924216284
2014-01-23 08:00:00,167.8100783708168
2014-01-23 09:00:00,191.80601609425628
2014-01-23 10:00:00,212.98524371134013
2014-01-23 11:00:00,243.36686078491903
2014-01-23 12:00:00,253.31461724317288
2014-01-23 13:00:00,258.66034726025674
2014-01-23 14:00:00,242.31743185915929
2014-01-23 15:00:00,256.47494985735324
2014-01-23 16:00:00,263.6580705003157
2014-01-23 17:00:00,250.00694789816959
2014-01-23 18:00:00,242.538206583981
2014-01-23 19:00:00,214.94861143797115
2014-01-23 20:00:00,183.8796510908802
2014-01-23 21:00:00,153.84737143318063
2014-01-23 22:00:00,131.68558131706288
2014-01-23 23:00:00,126.70980742394926
2014-01-24 00:00:00,122.8931072
2014-01-24 01:00:00,120.63979392888704
2014-01-24 02:00:00,125.06335184900871
2014-01-24 03:00:00,118.98006336040396
2014-01-24 04:00:00,123.41009289290972
2014-01-24 05:00:00,120.5227932523394
2014-01-24 06:00:00,123.16310928342584
2014-01-24 07:00:00,126.74070858820828
2014-01-24 08:00:00,168.9834690080888
2014-01-24 09:00:00,192.91927427755746
2014-01-24 10:00:00,235.8661532523394
2014-01-24 11:00:00,256.08180046566207
2014-01-24 12:00:00,267.40168146930995
2014-01-24 13:00:00,264.3949874956383
2014-01-24 14:00:00,245.08969937447773
2014-01-24 15:00:00,258.26751181855667
2014-01-24 16:00:00,260.3425804064801
2014-01-24 17:00:00,257.3747220467073
2014-01-24 18:00:00,238.2349559974753
2014-01-24 19:00:00,214.89889957816442
2014-01-24 20:00:00,172.95857821538465
2014-01-24 21:00:00,147.55648563424558
2014-01-24 22:00:00,124.33754116472456
2014-01-24 23:00:00,128.01657759365582
2014-01-25 00:00:00,128.38922944498213
2014-01-25 01:00:00,120.7923481691563
2014-01-25 02:00:00,126.5468860458658
2014-01-25 03:00:00,123.24512914285714
2014-01-25 04:00:00,123.20558417168104
2014-01-25 05:00:00,123.21849006185566
2014-01-25 06:00:00,123.13741459793812
2014-01-25 07:00:00,122.59639476043957
2014-01-25 08:00:00,128.32310054618137
2014-01-25 09:00:00,125.28293610940456
2014-01-25 10:00:00,137.59354400888182
2014-01-25 11:00:00,137.53134457605077
2014-01-25 12:00:00,135.14556392450442
2014-01-25 13:00:00,145.86543388732622
2014-01-25 14:00:00,141.01604353292655
2014-01-25 15:00:00,138.37960181443296
2014-01-25 16:00:00,143.17743988326725
2014-01-25 17:00:00,136.46241528297918
2014-01-25 18:00:00,136.68026009072162
2014-01-25 19:00:00,132.3816720858405
2014-01-25 20:00:00,129.36043734976278
2014-01-25 21:00:00,127.51274555685964
2014-01-25 22:00:00,123.904263755115
2014-01-25 23:00:00,122.51462266694716
2014-01-26 00:00:00,124.38094420876207
2014-01-26 01:00:00,122.2020684805386
2014-01-26 02:00:00,122.7886653716098
2014-01-26 03:00:00,123.633464069009
2014-01-26 04:00:00,121.50623481134829
2014-01-26 05:00:00,124.67040270650116
2014-01-26 06:00:00,123.8502134458366
2014-01-26 07:00:00,121.27550617478191
2014-01-26 08:00:00,123.3589377116574
2014-01-26 09:00:00,122.57667021586369
2014-01-26 10:00:00,124.55702518255356
2014-01-26 11:00:00,126.08823056427515
2014-01-26 12:00:00,126.29191198485165
2014-01-26 13:00:00,124.20264691773615
2014-01-26 14:00:00,124.48508736040394
2014-01-26 15:00:00,124.96392897790865
2014-01-26 16:00:00,126.5737669532117
2014-01-26 17:00:00,126.76529341805173
2014-01-26 18:00:00,127.33348350599618
2014-01-26 19:00:00,127.56363600190323
2014-01-26 20:00:00,125.02290830204727
2014-01-26 21:00:00,122.96500514201557
