,CV(%),RMSE,MAPE,R_square
wt_temp,68.32159524895431,11.005655275285392,57.923902634269986,-1.3795846458632777
wt_tmpap,103.30970997202851,13.066221176195318,100.62316272099577,-2.0984116916779216
wt_hr,78.25347656815222,49.14129452295805,76.3574200661815,-0.6522941220499556
wt_max_windgust,163.17309447738114,12.660808221831907,12268.20058149497,-2.2689037610156997
wt_mean_windspd,175.73480856927253,7.517093504291649,9509.655613799374,-1.7972058093802397
wt_mean_pres,2.062384660026841,20.963206770313526,1.6085713365477148,-1.6639800505572577
wt_mean_solarrad,300.8394582949663,556.3240650082961,208556.03190102542,1.200852267881857
wt_rain_day,1414.9899134615637,10.91351997090226,260510.8749009121,-7.916996198476809
