,,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-19,2,119.7259825,112.423931,108.037325,103.860916,107.9208645,109.8218145,117.4256145,143.4852355,188.073875,221.389881,253.87515,264.4586345,265.8670855,260.2581905,259.6726105,269.3040905,268.9260855,252.29321,221.2531,168.4785765,138.9150895,118.4241595,111.992175,112.4401
2017-01-20,2,110.0730895,101.9588735,104.7089145,107.8802235,109.850875,109.4643485,115.8886855,151.6514545,196.902149,222.1561605,253.4886235,284.1446105,272.0191715,265.160675,258.8969355,260.725562,265.4484395,247.1071125,214.5851355,154.7598355,134.8582,109.56267350000002,110.7395145,113.3007715
2017-01-21,0,112.440537,108.106808,93.4596605,100.27402,106.4276355,104.851158,103.2375355,115.150374,133.0300105,135.4907575,131.99585,124.171365,123.747475,123.0843275,118.612725,122.8120765,114.7562,113.026991,110.834125,108.5479595,108.2449,103.802795,101.5625145,102.192887
2017-01-22,0,102.3163395,104.6407425,103.077375,101.9968925,101.6643355,102.517141,101.984875,100.868777,103.8786145,105.665726,103.0701645,104.3156145,105.64475,104.0560365,106.204984,105.0912895,107.3829175,102.509275,104.8544355,102.461642,103.2703105,101.3623685,101.1727105,100.3983465
2017-01-23,2,100.87708,99.9054105,98.26819,96.9971755,99.188075,98.415459,102.4328,133.8943965,169.9455855,198.9851095,229.0026395,236.213795,239.6798605,226.376925,246.435225,244.455615,247.32015,234.1955105,212.2445635,157.9027395,130.24806850000002,116.2857,110.3387855,108.2521105
2017-01-24,2,108.5492705,104.479708,105.349775,103.929962,104.1006105,104.575848,109.7307,135.1385355,173.9515645,216.738453,239.6654395,256.001155,241.7739645,235.03760950000003,241.650075,250.292187,245.6960395,238.84235,212.8270845,170.9581145,144.103372,118.3468105,108.6939175,111.9884605
2017-01-25,2,108.6108875,107.5074625,108.4824095,105.1166355,103.6561815,106.9594645,106.7261065,133.798475,176.5552105,230.4119645,251.319137,268.2378105,273.1868355,249.5018725,260.6305145,267.8877735,282.1964645,264.117556,221.5954895,173.0447895,151.74825,118.447976,112.494725,108.226109
2017-01-26,2,113.8566355,113.274333,101.2054855,111.507105,106.376725,107.7631075,116.0599895,145.5343285,183.5218645,236.2231905,259.545225,275.931851,263.2088145,261.957028,270.4228105,278.8001005,268.25245,261.740276,218.9734895,174.2050245,135.5973855,107.87345,106.515691,101.670235
2017-01-27,2,100.5537,108.845775,95.8024175,95.28785,101.8911385,104.0569105,103.593909,136.9048895,166.5640795,208.612875,250.096848,259.829275,253.3675745,249.2501605,255.603048,266.9268105,253.3667005,237.9502145,205.6948075,172.0906,142.742991,117.22525,105.4990105,106.289762
2017-01-28,0,106.94264,102.4727855,105.631203,105.51365,103.0697275,104.7853895,105.9617935,115.5246645,124.2554875,119.3628355,123.1428855,128.335975,123.693724,127.2834605,128.80902749999998,132.5130395,130.586525,122.7058855,117.702891,113.9186895,112.90332,103.3249355,102.479122,104.7670355
2017-01-29,0,102.4277745,103.913356,103.339575,104.751085,104.3483895,102.587935,104.7489,102.640375,103.1038135,104.8107355,103.205853,103.216778,106.30025,104.836737,105.808625,104.6132115,104.625666,105.1022145,105.413577,107.6258895,105.4968255,105.9106645,104.62217,103.4840035
2017-01-30,2,105.459025,106.797556,104.2089865,103.7776675,105.7030895,102.9818905,112.494725,146.178248,175.3438465,206.2821355,239.312125,252.93123,256.5152855,256.17814,251.9267855,272.125581,268.805255,260.86715,208.6908795,172.5713,25.5048495,77.512875,75.590512,75.754387
2017-02-01,2,112.363625,107.2845925,101.5004605,107.843297,101.5987855,97.3463385,117.0218265,141.4750355,173.4726125,208.9006395,227.8812975,246.750302,245.2262645,249.439163,242.5824145,249.634939,242.82538650000004,247.0542355,197.702733,152.977531,123.9622605,113.307108,112.2834355,110.85357150000002
2017-02-02,2,108.2652205,103.8698745,103.5215855,100.0002395,95.8885065,109.8327395,112.3472375,138.5252855,189.258145,214.0506845,244.0647185,266.4788855,262.201311,254.53873450000003,260.4592105,265.8513535,253.36823,248.1808215,206.121975,166.2533725,134.60474,110.2588145,104.7596065,107.839364
2017-02-03,2,112.911623,108.6344855,107.1045485,99.521506,97.7763465,106.8283645,109.1383465,135.47764750000002,175.4155145,204.8548935,238.2307685,253.99314,248.2013605,244.792542,244.6031025,257.914778,259.99315,239.5675515,200.179649,158.194,134.965702,107.0359395,103.7125545,104.5249375
2017-02-04,0,101.158508,101.3413925,103.8139385,100.6990025,101.6599655,100.4407355,101.3837815,117.2770345,128.0665645,131.58201100000002,119.1862875,115.3983715,120.1712855,117.707698,112.235147,112.5275,110.2845975,109.392462,110.1425725,107.665875,106.5473735,102.831781,100.2624395,100.3419735
2017-02-05,0,102.4137905,101.519033,98.1901855,101.539135,100.459745,100.3061395,101.78604,99.6021325,100.6373855,101.9606215,96.803366,98.2063545,99.3993645,100.720634,99.705483,101.3403,103.5255185,99.4116005,97.28494,100.4590895,98.064111,99.177587,100.0439395,99.22522
2017-02-06,2,99.618083,101.0857475,96.854495,96.433227,95.439489,97.6548605,102.2879345,137.20488999999998,173.8239605,213.453524,261.7470495,254.649077,250.8089395,245.604051,246.13566150000003,263.6261495,247.6114105,238.7525465,204.475359,170.6578955,144.920125,117.191164,100.51,104.0132105
2017-02-07,2,97.6242705,99.251003,92.48231,99.130828,92.1377355,97.0220845,95.802199,125.8632105,164.9712145,214.0126655,261.073851,263.5291355,267.10751,245.5352235,254.6326895,262.6092505,258.2488645,236.97679700000003,215.30880750000003,179.7125355,151.7209375,119.97835,106.145989,97.461925
2017-02-08,2,102.355451,96.413999,97.99725,98.5804265,94.411665,98.8494,101.434692,139.8581355,190.486115,214.5632855,271.569717,261.940859,263.4273145,256.128322,255.8635,265.5275365,251.5116355,243.8169395,201.990577,170.0111355,145.08115949999996,116.3986645,101.2102925,102.4386995
2017-02-09,2,105.206439,105.808625,99.5754755,92.8880645,104.222315,96.3329355,106.607024,143.019175,185.1383275,228.01283450000003,255.022275,257.44653250000005,249.5232855,245.122914,252.2947395,255.110112,260.4338645,233.378102,205.5816245,153.0664605,129.82570800000002,113.1465105,93.9709505,92.428559
2017-02-10,2,93.8402875,97.160395,97.3979045,90.8778645,99.3941205,103.7802895,108.561725,137.194402,175.0257105,221.098402,245.4629,257.643401,253.301369,233.609275,257.072242,253.1613105,242.3639145,227.7207,182.379765,158.3550345,133.6164645,100.5644065,99.3556645,101.0407365
2017-02-11,0,98.803078,89.24960250000002,100.5609105,97.69135,99.1629475,99.3788255,98.0590855,106.029747,109.1663145,105.5287265,101.416775,104.250283,110.80135,108.2787675,107.6621605,104.7443115,106.9668935,108.6235605,110.28656399999998,107.0213,106.718459,99.690625,98.7678995,101.229739
2017-02-12,0,93.6986995,95.7757605,98.276056,99.17715,97.7654215,97.120191,98.8675355,97.98414,96.7699355,97.7339575,99.9419,102.6502075,100.53185,101.8647,100.2904075,98.8531145,99.5968885,97.614875,100.0950685,101.1290105,97.9463395,95.311448,100.083925,93.7048175
2017-02-13,2,95.365199,96.5767815,96.051726,94.6177105,94.1116645,94.839925,102.2070895,131.6206855,164.39568549999996,195.437325,244.0703995,244.005942,248.5072605,236.668712,250.2224855,255.379741,250.0074815,229.414075,194.021445,137.2654145,123.8639355,109.9929,105.001486,103.862227
2017-02-14,2,98.7316285,93.708969,100.069941,98.2413145,94.041089,100.6411,107.652328,126.1691105,174.0420235,208.388694,249.7199355,255.4088015,248.8568605,232.9478755,243.3580895,242.953209,257.0637205,227.797175,197.048544,162.8661855,128.0884145,111.348474,111.9447605,107.0975565
2017-02-15,2,111.025094,99.8070855,102.896894,99.691936,102.8005355,102.8446725,117.61855,136.3354785,180.522515,221.635475,244.89043,268.03395,257.631602,240.551894,257.513175,251.627659,250.16065,243.9419215,213.1321105,154.9508045,130.961034,118.7147645,113.0473115,112.3782645
2017-02-16,2,109.3118355,111.3290275,104.1399405,102.5566895,104.4867,102.519326,107.469225,148.542855,175.6440655,219.8400605,238.9295315,255.5538855,257.0715865,243.2317965,264.7383145,257.4382295,240.754225,231.278317,206.1536575,154.3193395,128.560156,116.3986645,113.606016,109.8545895
2017-02-17,2,107.3942795,109.8012755,109.993337,106.7698065,104.29005,103.369291,113.82167549999998,130.1239605,162.06582,204.2391605,243.901936,235.4920895,244.69815,221.526225,239.7563355,236.6326595,233.5583645,223.7901035,186.282175,148.02610249999995,124.295473,110.0001105,105.7786905,102.1660115
2017-02-18,0,101.397547,99.6943395,99.040369,99.0388395,97.51655,103.5565455,101.974387,107.403675,113.91541200000002,118.36145,112.9183965,112.6221105,111.0417,115.4578035,110.14585,108.535505,111.2202145,117.3264155,113.2776105,111.188969,111.368139,109.00965,106.3319325,102.535058
2017-02-19,0,102.596675,101.775989,101.222747,97.8006,99.371615,100.0255855,102.483055,100.7016245,100.3826145,101.0835625,105.385609,103.0736605,104.0184545,101.5878605,101.1543565,102.0248605,99.773655,101.1941235,103.0592395,102.5933975,101.067175,101.69427,100.9498405,103.6564
2017-02-20,2,100.3502765,100.135928,99.527624,102.2944895,100.2947775,99.8289355,104.536955,142.8275505,159.2063105,201.951247,321.05516,274.67635,261.1544775,250.3573,257.1283965,255.590375,251.7502375,233.3420495,225.6193855,176.7492385,133.226005,109.6797895,101.4965275,101.2456895
2017-02-21,2,100.3677565,100.703591,105.3679105,97.2252895,104.966089,104.957349,116.580675,151.41394499999996,301.191325,246.3200755,258.4922735,263.5291355,327.486926,302.7061855,297.923002,306.7047355,299.4151385,253.5983105,218.3144935,180.7722605,139.3000865,114.16625,113.9510275,109.0784775
2017-02-22,2,110.0075395,102.225225,108.1138,104.715688,103.544528,104.519475,110.3676275,142.70235,200.745564,222.87,248.142147,254.09365,356.9780895,300.691834,280.2963885,289.6873,276.9240595,248.5693145,209.9782815,176.5879855,138.7485925,109.850875,106.65116100000002,99.163603
2017-02-23,2,102.8879355,100.5539185,97.079987,96.019825,92.9062,98.419392,108.7074645,136.198916,172.6986855,217.1088105,248.2013605,252.805811,393.2053895,301.256875,333.27805,304.333355,301.3807645,257.5133935,213.27785,185.0657855,142.0687,122.4213985,102.0395,111.854083
2017-02-24,2,107.1587365,108.2049145,105.136956,96.6606855,96.845755,102.2944895,111.611111,138.102925,186.2094145,232.363825,247.153653,253.0667,391.920828,300.5395395,317.667536,304.0683145,269.7721175,223.995275,194.0247225,153.070175,128.98928999999998,101.6280645,103.3721315,104.105636
2017-02-25,0,103.4816,103.962737,100.5443045,101.4567605,101.0577795,102.601045,101.4277,108.190712,110.5026605,114.9115535,112.8733855,114.0095855,120.341497,115.75627450000002,114.7052895,117.40005,119.54135,115.475065,113.5288855,112.341775,111.6222545,101.08684,100.149475,98.743209
2017-02-26,0,100.3970355,98.9649865,96.9193895,96.6427685,100.0692855,98.44736,97.8006,98.4969595,102.0432145,99.079699,97.9244895,98.713056,103.9769395,105.095441,102.5639,104.800466,112.6513895,108.7192635,108.8966855,108.5497075,112.1741855,108.400472,100.6701605,104.3038155
2017-02-27,0,106.4167105,103.010514,101.7102205,101.3038105,103.97541,99.690625,107.0228295,124.7379355,156.0153365,160.20048549999996,178.2879155,188.7986395,209.8253315,188.1431395,187.716409,199.960275,192.117873,187.4220895,161.8755065,146.2711105,117.9517625,93.4159605,97.0745245,102.9281395
2017-02-28,0,101.404976,102.73433,101.428574,102.3163395,102.665284,93.0117355,101.293978,118.0046395,127.40319850000002,128.0665645,138.5934575,133.9769895,135.78901000000002,146.1837105,146.6744615,136.1873355,139.5937505,140.462725,137.005181,119.5157855,114.80667350000002,101.635275,102.7113875,105.261501
2017-03-01,2,106.1510145,107.25400249999998,106.1212985,102.9438715,101.7714005,101.3038105,111.465153,136.5443645,181.889888,221.0929395,254.983819,252.6259855,388.325192,293.42365,298.3991135,301.715725,297.8637885,259.9566605,209.1121475,177.3710895,139.29418700000002,114.9163605,113.1377705,113.3881715
2017-03-02,2,109.2681355,111.1712705,100.3935395,109.6588135,108.1575,107.170317,116.8046375,149.814525,184.4177145,225.5066395,262.9866,267.72805,370.4516735,306.194975,331.986715,308.9006605,305.520684,257.141725,215.846536,187.3163355,141.25719099999995,111.1909355,103.890195,113.407181
2017-03-03,2,110.49545,100.095287,94.465416,103.1680525,96.9010355,100.439206,114.8436,148.930474,183.8094105,231.0141505,264.570725,275.9438685,366.2934,288.5989515,305.539475,297.4919015000001,274.9239105,237.45574900000003,211.3513355,170.154253,142.5931,117.647392,111.708999,109.6177355
2017-03-04,0,108.628149,103.623625,106.1252315,103.4870625,105.8486105,98.537819,96.7699355,104.219256,112.603975,109.366242,111.1874395,114.3884645,113.2129345,112.5347105,110.569303,111.8573605,116.3387955,116.6062395,118.2012895,119.9090855,113.189992,105.8851,104.97177,105.9565495
2017-03-05,0,106.529675,105.0943485,105.7856825,107.928075,104.7674725,105.6410355,104.241106,108.22305,105.326177,105.7249395,107.242422,110.1714145,107.6805145,109.6797895,110.4021505,114.9893395,111.9862755,109.3192645,117.709883,111.1765145,111.19465,109.75255,112.7715645,106.9266895
2017-03-06,2,104.644894,106.659901,105.262375,104.6700215,105.2223895,105.0860455,115.6229895,142.6295895,168.7001355,196.9215955,234.7963855,257.386008,381.7632,284.907394,307.5022605,297.0540275,283.2924605,239.6566995,215.3245395,175.5383115,146.3475855,114.51453899999998,111.3840895,105.5680565
2017-03-07,2,108.3936985,103.842125,101.080722,105.08713799999998,95.4480105,103.1772295,111.249275,134.72491499999998,170.1422355,203.22685,249.7273645,240.9851795,371.286125,297.5181215,330.7178855,308.2416645,293.9093755,235.969075,215.8257785,182.7024895,143.76469699999996,121.1728895,110.855975,102.4474395
2017-03-08,2,111.668358,107.2898365,107.82975,93.8748105,99.416626,100.6411,115.7650145,139.4941145,172.49701000000005,210.6486395,241.09727,381.905225,287.6849660000001,305.9255645,298.893142,314.2539105,297.6990395,242.7497855,201.7159225,188.7767895,149.746353,110.6556105,107.3462095,104.2426355
2017-03-09,2,111.240098,103.994201,108.2411855,105.1026515,103.8165605,103.9830575,110.965225,137.94866399999998,168.124825,281.1808765,348.1834645,315.211159,401.6831895,359.443425,394.796725,424.6842475,382.7610895,258.679528,209.006175,195.0516725,154.0169355,118.822048,110.1744735,97.7422605
2017-03-10,2,100.818522,100.7348365,95.5791105,95.823175,96.277655,101.7735855,111.426697,135.655725,174.360378,442.626375,346.6321145,338.2963395,342.0195795,384.998311,383.041425,384.1944495,409.6147395,239.162234,193.5982105,181.199865,146.1583645,109.90047450000002,102.3526105,107.1875785
2017-03-11,0,103.5253,102.8695815,103.1357145,105.03732,103.6199105,103.012699,103.230325,109.4521125,114.8436,113.54134,119.967425,115.9481175,119.9565,113.1393,109.6172985,110.5865645,112.647675,114.4229875,110.6883855,111.6397345,109.8908605,104.258149,100.302425,101.4117495
2017-03-12,0,100.7558125,98.0263105,102.6349125,100.773511,99.962876,99.5523145,99.9866925,101.9046855,99.4081045,100.6229645,101.3182315,105.240525,98.8417525,100.193175,100.7951425,99.2901145,100.2624395,102.3613505,106.7470825,106.0199145,101.5314875,102.2835645,100.236875,100.780066
2017-03-13,2,99.6987095,100.0583605,102.323987,99.3700855,98.4646215,100.171325,106.661649,146.2055605,168.1420865,384.2285355,282.6950815,320.4230395,333.1746995000001,303.8498145,318.2668815,332.1490605,326.0319345000001,273.1724145,212.2803975,169.129925,145.877592,116.9558395,109.922106,109.9092145
